sn,res,eres,zcmb,st,B-V,m,ml,mu,sample,cal
ASAS14ad,0.15727133768933754,0.03016476163446022,0.0274352,1.013,-0.03,8.61,8.23,8.78,CSPII,none
ASAS14hp,-0.10546628952192094,0.018820382099967874,0.0386676,1.077,-0.055,9.09,8.98,9.15,CSPII,none
ASAS14hr,-0.021693449848719126,0.0218673773038403,0.0327196,0.803,0.053,10.34,10.18,10.45,CSPII,none
ASAS14hu,0.02283803734806611,0.02812080734854465,0.0218919,1.05,-0.052,9.93,9.8,10.24,CSPII,none
ASAS14jc,-0.20542537382342374,0.07093157222707738,0.0117796,0.914,0.426,9.46,9.32,9.77,CSPII,none
ASAS14jg,0.11386280514564362,0.05380778026683507,0.014347,1.3,0.068,8.76,8.57,8.88,CSPII,none
ASAS14jz,-0.1795316464046408,0.04305412308201804,0.0156168,0.985,-0.045,8.23,8.11,8.35,CSPII,none
ASAS14kd,-0.08786587100890131,0.04360368796796582,0.0230683,1.174,0.221,10.14,10.03,10.23,CSPII,none
ASAS14kq,0.21733065752757597,0.02133121962238657,0.0325972,1.157,-0.038,8.91,8.78,9.11,CSPII,none
ASAS14lo,0.15795273817159483,0.034922315900303716,0.0210151,0.95,0.116,9.69,9.47,9.79,CSPII,none
ASAS14lp,-1.3947011304543615,0.1954204756217834,0.0062254,1.027,0.237,10.74,10.6,10.91,CSPII,none
ASAS14lq,0.08121238661202312,0.04190244667314832,0.0250833,1.005,0.013,10.65,10.46,10.73,CSPII,none
ASAS14lt,-0.05146782202837841,0.02177906362807002,0.0314552,0.947,-0.034,10.64,10.56,10.7,CSPII,none
ASAS14lw,0.379435799535095,0.03296683488526006,0.0202609,1.156,-0.01,6.35,6.08,6.72,CSPII,none
ASAS14me,0.06933827794861003,0.04075731849318161,0.017386,1.078,0.001,9.05,8.91,9.15,CSPII,none
ASAS14mf,-0.07858416516249633,0.035679864666160216,0.0301521,0.982,-0.022,8.93,8.66,9.03,CSPII,none
ASAS14mw,0.0019075385200366668,0.02312680024172449,0.0271207,1.063,-0.042,10.68,10.59,10.75,CSPII,none
ASAS14my,-0.07796772456781298,0.028568483951826228,0.0217279,0.921,0.007,10.31,10.11,10.74,CSPII,none
ASAS15aj,-0.324813324085099,0.06309646366839794,0.0120218,0.83,0.095,11.2,11.05,11.35,CSPII,none
ASAS15al,0.38125828475965307,0.022592894252274096,0.0337612,1.079,0.043,8.07,8.03,8.23,CSPII,none
ASAS15as,0.17811124512650167,0.02347353654869013,0.0297845,1.077,0.018,7.66,7.47,8.01,CSPII,none
ASAS15ba,0.06242186644595904,0.030060803336327005,0.0239771,0.965,0.0,7.99,7.83,8.19,CSPII,none
ASAS15be,0.17718282819194542,0.028939601543935045,0.0213892,1.14,0.008,7.8,7.66,8.16,CSPII,none
ASAS15bm,-0.1329881465929219,0.028985322938351623,0.0214395,0.989,0.119,10.02,9.89,10.15,CSPII,none
ASAS15cb,-0.47638965574276426,0.03221323460292563,0.0411361,1.088,0.102,10.28,10.17,10.4,CSPII,none
ASAS15cd,0.06617207757407328,0.01901486746032293,0.0353887,1.001,-0.03,9.95,9.85,10.02,CSPII,none
ASAS15db,0.09387869733268417,0.0694482970588277,0.0113676,0.953,0.078,10.11,9.98,10.19,CSPII,none
ASAS15dd,-0.1391355429771366,0.02677006162719686,0.0247417,0.849,-0.017,10.41,10.31,10.52,CSPII,none
ASAS15fr,0.04741702604999887,0.02620877492211765,0.0345082,0.905,-0.147,9.98,9.89,10.06,CSPII,none
ASAS15ga,0.14369400779885666,0.14979271138884925,0.0076517,0.5,0.421,10.38,10.18,10.48,CSPII,none
ASAS15go,0.1920447184026628,0.03355768870706836,0.0192546,1.072,0.214,10.18,10.04,10.27,CSPII,none
ASAS15gr,0.06647117788080692,0.028919503753708574,0.0247678,1.031,-0.046,8.94,8.82,9.02,CSPII,none
ASAS15hf,0.2474540808142791,0.1548272115014547,0.0072452,0.939,0.004,9.56,9.39,9.97,CSPII,none
ASAS15hg,-0.005164787956893235,0.02948864573952317,0.0308678,0.824,0.048,10.42,10.3,10.51,CSPII,none
ASAS15hx,-0.4291564642244552,0.09656544715373902,0.0092051,1.034,-0.035,7.45,7.06,7.89,CSPII,none
