sn,res,eres,zcmb,st,B-V,m,ml,mu,sample,cal
ASAS14ad,0.1797350531099866,0.0328430095335511,0.0274352,1.013,-0.03,8.61,8.23,8.78,CSPII,none
ASAS14hp,-0.15468393410127845,0.025764276071654976,0.0386676,1.077,-0.055,9.09,8.98,9.15,CSPII,none
ASAS14hr,0.08124522557191227,0.029000572614545347,0.0327196,0.803,0.053,10.34,10.18,10.45,CSPII,none
ASAS14hu,-0.01850331323128529,0.04118923187382037,0.0218919,1.05,-0.052,9.93,9.8,10.24,CSPII,none
ASAS14jc,-0.07340138040278532,0.09760024510533016,0.0117796,0.914,0.426,9.46,9.32,9.77,CSPII,none
ASAS14jg,0.19877645456629978,0.08047660616278934,0.014347,1.3,0.068,8.76,8.57,8.88,CSPII,none
ASAS14jz,-0.25410434698400763,0.06326715245208114,0.0156168,0.985,-0.045,8.23,8.11,8.35,CSPII,none
ASAS14kd,-0.1585475575882498,0.03902438653862626,0.0230683,1.174,0.221,10.14,10.03,10.23,CSPII,none
ASAS14kq,0.2064090929482063,0.029251514376368658,0.0325972,1.157,-0.038,8.91,8.78,9.11,CSPII,none
ASAS14lo,0.04080338759223423,0.0520307589754182,0.0210151,0.95,0.116,9.69,9.47,9.79,CSPII,none
ASAS14lp,-1.5027035750337099,0.30204138170256073,0.0062254,1.027,0.237,10.74,10.6,10.91,CSPII,none
ASAS14lq,0.11022888603267234,0.05032677870897824,0.0250833,1.005,0.013,10.65,10.46,10.73,CSPII,none
ASAS14lt,-0.12651114660773288,0.02993997513262665,0.0314552,0.947,-0.034,10.64,10.56,10.7,CSPII,none
ASAS14lw,0.32073495295573906,0.04547340989369612,0.0202609,1.156,-0.01,6.35,6.08,6.72,CSPII,none
ASAS14me,-0.031211696630727204,0.05456056029282552,0.017386,1.078,0.001,9.05,8.91,9.15,CSPII,none
ASAS14mf,0.043835220258152674,0.03043836099998585,0.0301521,0.982,-0.022,8.93,8.66,9.03,CSPII,none
ASAS14mw,-0.08536354605931251,0.03316825134276348,0.0271207,1.063,-0.042,10.68,10.59,10.75,CSPII,none
ASAS14my,-0.27874740114717156,0.041595146033644656,0.0217279,0.921,0.007,10.31,10.11,10.74,CSPII,none
ASAS15aj,-0.35854707466445745,0.09449738383446936,0.0120218,0.83,0.095,11.2,11.05,11.35,CSPII,none
ASAS15al,0.20786260818029945,0.038023465641403784,0.0337612,1.079,0.043,8.07,8.03,8.23,CSPII,none
ASAS15as,0.011655600547143763,0.031211517681699004,0.0297845,1.077,0.018,7.66,7.47,8.01,CSPII,none
ASAS15ba,0.04589316586660175,0.03724320125514874,0.0239771,0.965,0.0,7.99,7.83,8.19,CSPII,none
ASAS15be,0.1639508776125922,0.04223214388146844,0.0213892,1.14,0.008,7.8,7.66,8.16,CSPII,none
ASAS15bm,-0.22648150317226623,0.04224740023385458,0.0214395,0.989,0.119,10.02,9.89,10.15,CSPII,none
ASAS15cb,-0.1699643903221073,0.04806265596014915,0.0411361,1.088,0.102,10.28,10.17,10.4,CSPII,none
ASAS15cd,0.06061504099473325,0.027043716637445096,0.0353887,1.001,-0.03,9.95,9.85,10.02,CSPII,none
ASAS15da,0.2103081875636903,0.03640344684458806,0.0488203,0.851,-0.133,10.4,10.23,10.48,CSPII,none
ASAS15db,0.05057497275333844,0.10325639082583259,0.0113676,0.953,0.078,10.11,9.98,10.19,CSPII,none
ASAS15dd,-0.06341137955649856,0.03621883034901116,0.0247417,0.849,-0.017,10.41,10.31,10.52,CSPII,none
ASAS15eb,0.11695213476114219,0.056178861072576525,0.0173082,0.82,-0.136,10.96,10.79,11.4,CSPII,none
ASAS15fr,0.27821952547063233,0.03817658843425571,0.0345082,0.905,-0.147,9.98,9.89,10.06,CSPII,none
ASAS15ga,0.32292965721948974,0.240285701136063,0.0076517,0.5,0.421,10.38,10.18,10.48,CSPII,none
ASAS15go,0.1328341438233167,0.04819915019867316,0.0192546,1.072,0.214,10.18,10.04,10.27,CSPII,none
ASAS15gr,-0.01612841869853554,0.03612378734336154,0.0247678,1.031,-0.046,8.94,8.82,9.02,CSPII,none
ASAS15hf,0.5713811242349109,0.22800472893444293,0.0072452,0.939,0.004,9.56,9.39,9.97,CSPII,none
ASAS15hg,0.049911325463746437,0.038838238512253306,0.0308678,0.824,0.048,10.42,10.3,10.51,CSPII,none
ASAS15hx,-0.4509658308038027,0.1479658724113299,0.0092051,1.034,-0.035,7.45,7.06,7.89,CSPII,none
CSP12G,0.037642570145280274,0.04141197886479148,0.0379661,1.158,0.109,8.41,8.29,8.49,CSPII,none
CSP12J,-0.3992383834102782,0.09482491788178407,0.0149235,0.484,0.555,10.09,9.97,10.2,CSPII,none
CSP12N,0.02004362069290977,0.01970182783637609,0.0982741,1.062,-0.11,7.51,7.32,7.66,CSPII,none
CSP13N,-0.2451947428699981,0.034055182344429835,0.0487969,1.145,-0.015,10.07,9.88,10.24,CSPII,none
CSP13Q,-0.04931596240715663,0.15517112914020353,0.0887656,0.768,-0.046,10.25,10.06,10.74,CSPII,none
CSP13V,-0.016100392625425286,0.048073862954950294,0.0611394,1.069,-0.075,11.5,11.5,11.5,CSPII,none
CSP13Z,-0.12298279148532743,0.02147846432849389,0.0800694,1.215,-0.026,8.35,8.25,8.85,CSPII,none
CSP13aad,-0.10214234813626177,0.03715810268745219,0.0865709,1.193,0.029,9.65,9.59,9.8,CSPII,none
CSP13aaf,-0.004808111127005077,0.02079934156670385,0.0787193,1.131,-0.056,10.66,10.53,11.04,CSPII,none
CSP13aam,0.08380048007120422,0.02102369659605123,0.0750921,1.138,-0.15,9.05,8.65,9.23,CSPII,none
CSP13aao,-0.3847797552806611,0.04448111001674939,0.0616022,0.7,0.123,9.93,9.8,10.09,CSPII,none
CSP13aaq,0.15500325936071846,0.021669300872218696,0.0597706,0.984,-0.057,11.5,11.5,11.5,CSPII,none
CSP13aay,0.3042256613597374,0.021975544060520373,0.0587551,1.142,0.037,11.5,11.5,11.5,CSPII,none
CSP13abl,0.32225463176246905,0.03757219566969138,0.0406288,0.812,1.061,8.91,8.9,9.04,CSPII,none
CSP13abm,0.37534033999499883,0.03299970675469749,0.027529,1.14,-0.018,11.5,11.5,11.5,CSPII,none
CSP13abs,-0.055820337659511665,0.022123409308980463,0.0783462,1.22,-0.062,6.36,6.23,6.48,CSPII,none
CSP14aaq,-0.0631896173065769,0.02858664997717332,0.0361755,0.905,-0.085,11.08,11.01,11.48,CSPII,none
CSP14aar,-0.020634914273593097,0.024563117786654314,0.0423854,0.982,-0.016,9.07,8.9,9.42,CSPII,none
CSP14abn,-0.09744273690414929,0.038369700848536414,0.0232746,1.004,-0.036,9.75,9.59,10.24,CSPII,none
CSP14acl,0.5649581504127781,0.03187889145753031,0.0289327,0.959,-0.081,11.5,11.5,11.5,CSPII,none
CSP14acy,-0.45438816832927387,0.03807310786943478,0.0660269,1.215,0.085,8.19,7.86,8.33,CSPII,none
