sn,res,eres,zcmb,st,B-V,m,ml,mu,sample,cal
ASAS14ad,0.22785930731538429,0.06907466347088884,0.0274352,1.013,-0.03,8.61,8.23,8.78,CSPII,none
ASAS14hp,-0.2856217598958608,0.061138130467703285,0.0386676,1.077,-0.055,9.09,8.98,9.15,CSPII,none
ASAS14hr,0.5086863597773217,0.06637721204575121,0.0327196,0.803,0.053,10.34,10.18,10.45,CSPII,none
ASAS14hu,0.14974464297410606,0.07737288777535119,0.0218919,1.05,-0.052,9.93,9.8,10.24,CSPII,none
ASAS14jc,0.2204890078026125,0.1394920573045365,0.0117796,0.914,0.426,9.46,9.32,9.77,CSPII,none
ASAS14jg,0.21022941077168866,0.18283364803543573,0.014347,1.3,0.068,8.76,8.57,8.88,CSPII,none
ASAS14jz,-0.21476894077860464,0.10096419489129876,0.0156168,0.985,-0.045,8.23,8.11,8.35,CSPII,none
ASAS14kd,-0.2864922093828568,0.07520636664910693,0.0230683,1.174,0.221,10.14,10.03,10.23,CSPII,none
ASAS14kq,0.5246415071536177,0.06672710535090037,0.0325972,1.157,-0.038,8.91,8.78,9.11,CSPII,none
ASAS14lo,0.1619433437976383,0.1539573804069683,0.0210151,0.95,0.116,9.69,9.47,9.79,CSPII,none
ASAS14lp,-1.5452218008283154,0.3611401599495915,0.0062254,1.027,0.237,10.74,10.6,10.91,CSPII,none
ASAS14lq,0.10948789223807154,0.19525445521813087,0.0250833,1.005,0.013,10.65,10.46,10.73,CSPII,none
ASAS14lt,-0.041462012402341486,0.06857496813282282,0.0314552,0.947,-0.034,10.64,10.56,10.7,CSPII,none
ASAS14lw,0.36721882116114557,0.08392915738783602,0.0202609,1.156,-0.01,6.35,6.08,6.72,CSPII,none
ASAS14me,-0.08623801242533347,0.09155308604821374,0.017386,1.078,0.001,9.05,8.91,9.15,CSPII,none
ASAS14mf,0.22621498446355304,0.06654836615444328,0.0301521,0.982,-0.022,8.93,8.66,9.03,CSPII,none
ASAS14mw,-0.06851769185391277,0.06841376890671015,0.0271207,1.063,-0.042,10.68,10.59,10.75,CSPII,none
ASAS14my,-0.2339465229417641,0.07839622835914438,0.0217279,0.921,0.007,10.31,10.11,10.74,CSPII,none
ASAS15aj,-0.14304231845905946,0.13582209573602694,0.0120218,0.83,0.095,11.2,11.05,11.35,CSPII,none
ASAS15al,0.21053348638569958,0.14187176569327878,0.0337612,1.079,0.043,8.07,8.03,8.23,CSPII,none
ASAS15as,-0.027370225247459246,0.0691021640732622,0.0297845,1.077,0.018,7.66,7.47,8.01,CSPII,none
ASAS15ba,0.18521057207199476,0.07241037846042861,0.0239771,0.965,0.0,7.99,7.83,8.19,CSPII,none
