sn,res,eres,zcmb,st,B-V,m,ml,mu,sample,cal
ASAS14ad,0.12125244003654245,0.19406229628331528,0.0274352,1.013,-0.03,8.61,8.23,8.78,CSPII,none
ASAS14hp,-0.16755654717471202,0.17549937430263962,0.0386676,1.077,-0.055,9.09,8.98,9.15,CSPII,none
ASAS14hr,0.07366861249848,0.18397076610190352,0.0327196,0.803,0.053,10.34,10.18,10.45,CSPII,none
ASAS14hu,-0.11491552630472768,0.2139377158801289,0.0218919,1.05,-0.052,9.93,9.8,10.24,CSPII,none
ASAS14jc,-0.1277191934762243,0.3165622758849291,0.0117796,0.914,0.426,9.46,9.32,9.77,CSPII,none
ASAS14jg,0.24632424149285725,0.29628940928554265,0.014347,1.3,0.068,8.76,8.57,8.88,CSPII,none
ASAS14jz,-0.27916656005744755,0.25806286496349584,0.0156168,0.985,-0.045,8.23,8.11,8.35,CSPII,none
ASAS14kd,-0.03666337066169234,0.20817650542763125,0.0230683,1.174,0.221,10.14,10.03,10.23,CSPII,none
ASAS14kq,0.25085447987476783,0.1860185880060544,0.0325972,1.157,-0.038,8.91,8.78,9.11,CSPII,none
ASAS14lo,-0.04060882548120048,0.24493786243862706,0.0210151,0.95,0.116,9.69,9.47,9.79,CSPII,none
ASAS14lp,-1.4911361881071485,0.5457268752976874,0.0062254,1.027,0.237,10.74,10.6,10.91,CSPII,none
ASAS14lq,-0.0588133270407738,0.2490826615790781,0.0250833,1.005,0.013,10.65,10.46,10.73,CSPII,none
ASAS14lt,-0.13964175968116876,0.18624585463191726,0.0314552,0.947,-0.034,10.64,10.56,10.7,CSPII,none
ASAS14lw,0.18260113988230842,0.22392261872812114,0.0202609,1.156,-0.01,6.35,6.08,6.72,CSPII,none
ASAS14me,-0.039928309704166054,0.24129425157852674,0.017386,1.078,0.001,9.05,8.91,9.15,CSPII,none
ASAS14mf,0.0337006071847199,0.1872610780453294,0.0301521,0.982,-0.022,8.93,8.66,9.03,CSPII,none
ASAS14mw,-0.11020615913275122,0.19398932309889785,0.0271207,1.063,-0.042,10.68,10.59,10.75,CSPII,none
ASAS14my,-0.2426192142206034,0.21577588869180608,0.0217279,0.921,0.007,10.31,10.11,10.74,CSPII,none
ASAS15aj,-0.22156928773787854,0.31154838760808024,0.0120218,0.83,0.095,11.2,11.05,11.35,CSPII,none
ASAS15al,0.13548279510686,0.22120936661464916,0.0337612,1.079,0.043,8.07,8.03,8.23,CSPII,none
ASAS15as,-0.17444701252629358,0.19259023005798453,0.0297845,1.077,0.018,7.66,7.47,8.01,CSPII,none
ASAS15ba,-0.02037904720683059,0.20363453465812859,0.0239771,0.965,0.0,7.99,7.83,8.19,CSPII,none
ASAS15be,0.07137866453915365,0.2157185754807731,0.0213892,1.14,0.008,7.8,7.66,8.16,CSPII,none
ASAS15bm,-0.3049093162457197,0.21533953505000442,0.0214395,0.989,0.119,10.02,9.89,10.15,CSPII,none
ASAS15cb,-0.2123070033955443,0.2738024258851941,0.0411361,1.088,0.102,10.28,10.17,10.4,CSPII,none
ASAS15cd,0.04457722792128038,0.17765974002905058,0.0353887,1.001,-0.03,9.95,9.85,10.02,CSPII,none
ASAS15da,0.28742037449026014,0.21866895095271197,0.0488203,0.851,-0.133,10.4,10.23,10.48,CSPII,none
ASAS15db,0.06114835967989052,0.3244163369595132,0.0113676,0.953,0.078,10.11,9.98,10.19,CSPII,none
ASAS15dd,-0.050507192629922315,0.20126139139951255,0.0247417,0.849,-0.017,10.41,10.31,10.52,CSPII,none
ASAS15eb,0.2410999216877201,0.24902883711840176,0.0173082,0.82,-0.136,10.96,10.79,11.4,CSPII,none
ASAS15fr,0.2630373123972092,0.21738226876344116,0.0345082,0.905,-0.147,9.98,9.89,10.06,CSPII,none
ASAS15ga,0.500947444146064,0.5244378052636165,0.0076517,0.5,0.421,10.38,10.18,10.48,CSPII,none
ASAS15go,0.052763530749878385,0.22962094239245465,0.0192546,1.072,0.214,10.18,10.04,10.27,CSPII,none
ASAS15gr,-0.04274223177197456,0.20097596016163377,0.0247678,1.031,-0.046,8.94,8.82,9.02,CSPII,none
ASAS15hf,0.6029233111614687,0.476075412117133,0.0072452,0.939,0.004,9.56,9.39,9.97,CSPII,none
ASAS15hg,0.05510551239031258,0.21689774512098747,0.0308678,0.824,0.048,10.42,10.3,10.51,CSPII,none
ASAS15hx,-0.5874296438772433,0.3864049410810688,0.0092051,1.034,-0.035,7.45,7.06,7.89,CSPII,none
CSP12G,0.08859795707184759,0.23616244807066275,0.0379661,1.158,0.109,8.41,8.29,8.49,CSPII,none
CSP12J,-0.35838219648371705,0.3436720909143935,0.0149235,0.484,0.555,10.09,9.97,10.2,CSPII,none
CSP12N,-0.14368299238051918,0.15872809302950394,0.0982741,1.062,-0.11,7.51,7.32,7.66,CSPII,none
CSP13N,-0.2479169559434311,0.21312923417468596,0.0487969,1.145,-0.015,10.07,9.88,10.24,CSPII,none
CSP13Q,0.042153424519398186,0.6413079387973654,0.0887656,0.768,-0.046,10.25,10.06,10.74,CSPII,none
CSP13V,-0.02693220569884147,0.2857606640091556,0.0611394,1.069,-0.075,11.5,11.5,11.5,CSPII,none
CSP13Z,-0.14909500455875246,0.16934072228055272,0.0800694,1.215,-0.026,8.35,8.25,8.85,CSPII,none
CSP13aad,-0.015302961209691546,0.23161382146271378,0.0865709,1.193,0.029,9.65,9.59,9.8,CSPII,none
CSP13aaf,0.034198075799551475,0.1657647675916844,0.0787193,1.131,-0.056,10.66,10.53,11.04,CSPII,none
CSP13aam,-0.04290213300223655,0.16587883036763032,0.0750921,1.138,-0.15,9.05,8.65,9.23,CSPII,none
CSP13aao,-0.4238419683540897,0.24820597881841194,0.0616022,0.7,0.123,9.93,9.8,10.09,CSPII,none
CSP13aaq,0.230359446287288,0.16247090963412983,0.0597706,0.984,-0.057,11.5,11.5,11.5,CSPII,none
CSP13aay,0.41589704828631113,0.16563710571310786,0.0587551,1.142,0.037,11.5,11.5,11.5,CSPII,none
CSP13abl,0.555638018689038,0.24278641518816477,0.0406288,0.812,1.061,8.91,8.9,9.04,CSPII,none
CSP13abm,0.35690812692156726,0.1939981329414598,0.027529,1.14,-0.018,11.5,11.5,11.5,CSPII,none
CSP13abs,-0.015132550732943173,0.17049754358853114,0.0783462,1.22,-0.062,6.36,6.23,6.48,CSPII,none
CSP14aal,-0.06377302144500163,0.182870708323854,0.0785493,1.087,-0.078,11.5,11.5,11.5,CSPII,none
CSP14aaq,-0.05755183038001377,0.18626381701683123,0.0361755,0.905,-0.085,11.08,11.01,11.48,CSPII,none
CSP14aar,-0.10662952734703879,0.17334538591575596,0.0423854,0.982,-0.016,9.07,8.9,9.42,CSPII,none
CSP14abn,-0.14769254997759163,0.2080096549233924,0.0232746,1.004,-0.036,9.75,9.59,10.24,CSPII,none
CSP14acl,0.45729433733934144,0.19085254313955757,0.0289327,0.959,-0.081,11.5,11.5,11.5,CSPII,none
