sn,res,eres,zcmb,st,B-V,m,ml,mu,sample,cal
ASAS14ad,0.09336367804764478,0.20992618684086095,0.0274352,1.01,-0.010999999999999233,8.61,8.23,8.78,CSPII,
ASAS14hp,-0.16608317316359233,0.1866365985459327,0.0386676,1.074,-0.04899999999999949,9.09,8.98,9.15,CSPII,
ASAS14hr,0.06324459450959097,0.19516578234797335,0.0327196,0.802,0.06099999999999994,10.34,10.18,10.45,CSPII,
ASAS14hu,-0.10968580329362965,0.22314448944844562,0.0218919,1.052,-0.04499999999999993,9.93,9.8,10.24,CSPII,
ASAS14jc,-0.1059595034651295,0.3211294753761147,0.0117796,0.915,0.43700000000000117,9.46,9.32,9.77,CSPII,
ASAS14jg,0.27450873550395727,0.3023568076817038,0.014347,1.285,0.049000000000001265,8.76,8.57,8.88,CSPII,
ASAS14jz,-0.27771869504633884,0.26483530780936826,0.0156168,0.989,-0.04100000000000037,8.23,8.11,8.35,CSPII,
ASAS14kd,-0.029089464650589036,0.21729491649887456,0.0230683,1.169,0.2339999999999982,10.14,10.03,10.23,CSPII,
ASAS14kq,0.22447645688587414,0.19644930828929152,0.0325972,1.147,-0.020999999999997243,8.91,8.78,9.11,CSPII,
ASAS14lo,-0.03373150247009704,0.24997547310051033,0.0210151,0.952,0.12700000000000067,9.69,9.47,9.79,CSPII,
ASAS14lp,-1.461949899096048,0.5446312209588949,0.0062254,1.029,0.24300000000000033,10.74,10.6,10.91,CSPII,
ASAS14lq,-0.03852078202966425,0.2533545945277161,0.0250833,0.999,0.019999999999999574,10.65,10.46,10.73,CSPII,
ASAS14lt,-0.11371784567007381,0.1968148153850431,0.0314552,0.944,-0.0329999999999977,10.64,10.56,10.7,CSPII,
ASAS14lw,0.3645662948934074,0.2315024274793506,0.0202609,1.25,-0.012000000000000455,6.35,6.08,6.72,CSPII,
ASAS14me,-0.03385242269307298,0.2487162123394231,0.017386,1.078,0.006999999999999673,9.05,8.91,9.15,CSPII,
ASAS14mf,0.03095590619581401,0.1980544984883758,0.0301521,0.984,-0.012000000000000455,8.93,8.66,9.03,CSPII,
ASAS14mw,-0.10198150212166013,0.20406076198575324,0.0271207,1.063,-0.03399999999999892,10.68,10.59,10.75,CSPII,
ASAS14my,-0.2404567252094978,0.2253976364076556,0.0217279,0.923,0.014999999999998792,10.31,10.11,10.74,CSPII,
ASAS15aj,-0.21978455772678984,0.31616888499322443,0.0120218,0.831,0.10299999999999976,11.2,11.05,11.35,CSPII,
ASAS15al,0.13290128411797753,0.22621002758427636,0.0337612,1.077,0.054999999999999716,8.07,8.03,8.23,CSPII,
ASAS15as,-0.1796933385151931,0.20230941585100093,0.0297845,1.076,0.028999999999999915,7.66,7.47,8.01,CSPII,
ASAS15ba,-0.024115214195724377,0.2133787602750248,0.0239771,0.967,0.008000000000000895,7.99,7.83,8.19,CSPII,
ASAS15be,0.057030739550256726,0.22498094145764186,0.0213892,1.134,0.019000000000000128,7.8,7.66,8.16,CSPII,
ASAS15bm,-0.29270679523460785,0.22422205817634064,0.0214395,0.991,0.12700000000000067,10.02,9.89,10.15,CSPII,
ASAS15cb,-0.18893614438444217,0.26900585519491227,0.0411361,1.086,0.10699999999999932,10.28,10.17,10.4,CSPII,
ASAS15cd,0.04976455693239501,0.18908008377020072,0.0353887,1.003,-0.021000000000000796,9.95,9.85,10.02,CSPII,
ASAS15da,0.29352150350134565,0.22361256398171106,0.0488203,0.853,-0.1319999999999979,10.4,10.23,10.48,CSPII,
ASAS15db,0.07079731269099199,0.3285390678428754,0.0113676,0.955,0.0860000000000003,10.11,9.98,10.19,CSPII,
ASAS15dd,-0.059945271618829565,0.21100927627478183,0.0247417,0.849,-0.0070000000000014495,10.41,10.31,10.52,CSPII,
ASAS15eb,0.22573163169880672,0.2560378196563149,0.0173082,0.821,-0.12899999999999956,10.96,10.79,11.4,CSPII,
ASAS15fr,0.24129888140829792,0.22292931822593975,0.0345082,0.905,-0.13299999999999912,9.98,9.89,10.06,CSPII,
ASAS15ga,0.4494879791571549,0.5219938307060502,0.0076517,0.496,0.43100000000000094,10.38,10.18,10.48,CSPII,
ASAS15go,0.06921122476096997,0.23767374357761545,0.0192546,1.071,0.22400000000000198,10.18,10.04,10.27,CSPII,
ASAS15gr,-0.04283772676087949,0.21093765577896892,0.0247678,1.035,-0.036000000000001364,8.94,8.82,9.02,CSPII,
ASAS15hf,0.6098636001725879,0.4765030557232806,0.0072452,0.943,0.009000000000000341,9.56,9.39,9.97,CSPII,
ASAS15hg,0.03559520740140698,0.223073507372033,0.0308678,0.82,0.06299999999999883,10.42,10.3,10.51,CSPII,
ASAS15hx,-0.5836738978661415,0.38921474989645694,0.0092051,1.039,-0.030000000000001137,7.45,7.06,7.89,CSPII,
CSP12G,0.11471667108295236,0.23687165699590285,0.0379661,1.159,0.11499999999999844,8.41,8.29,8.49,CSPII,
CSP12J,-0.3802503654726195,0.3431406723130919,0.0149235,0.484,0.5549999999999997,10.09,9.97,10.2,CSPII,
CSP12N,-0.15740587036943054,0.17190223383515235,0.0982741,1.053,-0.11400000000000077,7.51,7.32,7.66,CSPII,
CSP13N,-0.25330311793234017,0.21988238020695422,0.0487969,1.138,-0.003999999999997783,10.07,9.88,10.24,CSPII,
CSP13Q,0.028441567530499867,0.5561636357926785,0.0887656,0.76,-0.046999999999997044,10.25,10.06,10.74,CSPII,
CSP13V,0.055193624312245504,0.35226154934147,0.0611394,1.05,-0.14199999999999946,11.5,11.5,11.5,CSPII,
CSP13Z,-0.18536891054766613,0.17806804745617533,0.0800694,1.19,-0.022999999999999687,8.35,8.25,8.85,CSPII,
CSP13aad,0.0095793568014102,0.22538561561627907,0.0865709,1.19,0.019999999999999574,9.65,9.59,9.8,CSPII,
CSP13aaf,0.05445630181066008,0.1776562808309884,0.0787193,1.136,-0.05600000000000094,10.66,10.53,11.04,CSPII,
CSP13aam,-0.05551287399112681,0.18027643631900167,0.0750921,1.136,-0.15500000000000114,9.05,8.65,9.23,CSPII,
CSP13aao,-0.43770303334299854,0.24521080460965208,0.0616022,0.696,0.125,9.93,9.8,10.09,CSPII,
CSP13aaq,0.24264127729838947,0.17481716322382113,0.0597706,0.984,-0.054999999999999716,11.5,11.5,11.5,CSPII,
CSP13aay,0.4366475312974103,0.17716717295791362,0.0587551,1.14,0.03900000000000148,11.5,11.5,11.5,CSPII,
CSP13abl,0.6180003207001405,0.24365214383561914,0.0406288,0.817,1.0730000000000004,8.91,8.9,9.04,CSPII,
CSP13abm,0.3443186369326554,0.2041749734406446,0.027529,1.129,-0.006000000000000227,11.5,11.5,11.5,CSPII,
CSP13abs,-0.03669736772184251,0.17712976656956408,0.0783462,1.208,-0.06099999999999994,6.36,6.23,6.48,CSPII,
CSP14aaq,-0.040886632368902553,0.19653176145468798,0.0361755,0.898,-0.08999999999999986,11.08,11.01,11.48,CSPII,
CSP14aar,-0.08738016033593254,0.19191651688178793,0.0423854,0.982,-0.021000000000000796,9.07,8.9,9.42,CSPII,
CSP14abn,-0.147021415966492,0.21829929739536982,0.0232746,1.007,-0.0259999999999998,9.75,9.59,10.24,CSPII,
CSP14acl,0.45825618735045026,0.20097462171733385,0.0289327,0.96,-0.07099999999999795,11.5,11.5,11.5,CSPII,
CSP14acy,-0.8136212313916005,0.1774170711117998,0.0660269,0.966,0.12199999999999989,8.19,7.86,8.33,CSPII,
CSP14adc,-0.20331325050527482,0.19765166456793534,0.031651,0.811,0.23200000000000287,10.81,10.67,11.14,CSPII,
CSP14ade,-0.134788992815551,0.18196253206987614,0.0626358,1.228,0.03500000000000014,10.49,10.33,10.97,CSPII,
CSP15B,-0.17683237332055057,0.2302902042147657,0.0208198,0.718,0.1399999999999988,10.95,10.78,11.42,CSPII,
CSP15aae,-0.051856113096725664,0.25270846934289365,0.0169733,0.505,0.4540000000000006,11.14,10.96,11.26,CSPII,
KISS13j,-0.23335773113930003,0.18712870606874782,0.0776331,0.895,0.1319999999999979,9.83,9.65,10.21,CSPII,
KISS13l,-0.09603438831229028,0.39324857660463736,0.1330018,1.087,-0.038000000000000256,8.69,8.32,8.85,CSPII,
KISS13v,-0.05096764621352179,0.17432105866894798,0.0962132,0.984,0.0940000000000012,11.5,11.5,11.5,CSPII,
KISS15m,0.04075415783141523,0.21675376699895227,0.0253844,0.425,0.6219999999999999,9.78,9.67,9.94,CSPII,
KISS15n,-0.33855197147609317,0.2155827669184022,0.0239783,1.225,0.09700000000000131,8.0,7.8,8.17,CSPII,
LSQ11bk,0.0682346200331736,0.18900768205123575,0.0400251,1.071,-0.0779999999999994,6.53,6.5,6.59,CSPII,
LSQ11ot,0.6327018784803045,0.20313863776226282,0.0273222,0.982,0.3200000000000003,10.17,10.0,10.22,CSPII,
LSQ11pn,-0.28459626130032945,0.19545789143421552,0.0326611,0.503,0.2870000000000026,10.7,10.52,10.8,CSPII,
LSQ12agq,0.19230260264291132,0.22207422623568895,0.0653581,1.152,0.08899999999999864,9.3,9.29,9.43,CSPII,
LSQ12aor,0.35760272493151746,0.18027517246142863,0.0945588,0.923,-0.06899999999999906,9.85,9.67,10.15,CSPII,
LSQ12bld,-0.05852731398562838,0.1723040096631704,0.084303,0.896,0.0779999999999994,10.55,10.42,10.64,CSPII,
LSQ12btn,-0.01023497761030967,0.17676595367640516,0.0552706,0.829,0.10000000000000142,10.9,10.84,10.94,CSPII,
LSQ12ca,0.06276886182536145,0.22008931929523604,0.0995466,0.947,-0.04999999999999716,10.44,10.34,10.64,CSPII,
LSQ12cda,-0.17944864213338718,0.37604884266382205,0.1384035,0.813,0.045000000000001705,9.82,9.69,9.98,CSPII,
LSQ12cdl,0.10283084066585246,0.23331393255146401,0.1090245,0.994,-0.14099999999999824,8.81,8.79,8.93,CSPII,
LSQ12fuk,0.08521249954592491,0.22873327660596032,0.0205571,1.004,-0.008000000000000895,8.34,8.2,8.45,CSPII,
LSQ12fvl,-0.04287790231078503,0.17859551724727757,0.055977,0.596,0.24599999999999866,10.74,10.55,10.93,CSPII,
LSQ12fxd,0.011600249859171186,0.19529814226453485,0.0313344,1.16,-0.006000000000000227,10.28,10.16,10.4,CSPII,
LSQ12gdj,-0.19668541328828582,0.2000727114390309,0.0292813,1.165,-0.030999999999998806,8.66,8.36,8.76,CSPII,
LSQ12gef,0.220163855175322,0.22396054519288217,0.0631798,1.176,0.2690000000000019,11.5,11.5,11.5,CSPII,
LSQ12gln,0.09543955460473086,0.17386342792242251,0.1021611,1.109,-0.0660000000000025,8.75,8.6,9.07,CSPII,
LSQ12gxj,0.627202657762254,0.19152016241558847,0.034596,1.092,0.2640000000000029,9.18,9.06,9.31,CSPII,
LSQ12gyc,0.16021953158983138,0.18693046711089387,0.0924863,1.148,-0.045999999999999375,11.5,11.5,11.5,CSPII,
LSQ12gzm,0.4547657060773247,0.18371270622708524,0.0993978,1.143,0.030000000000001137,11.5,11.5,11.5,CSPII,
