sn,res,eres,zcmb,st,B-V,m,ml,mu,sample,cal
ASAS14ad,0.05193021182810753,0.2905611820562553,0.0274352,1.01,-0.010999999999999233,8.61,8.23,8.78,CSPII,
ASAS14hp,-0.34723222338314486,0.24990143648783697,0.0386676,1.074,-0.04899999999999949,9.09,8.98,9.15,CSPII,
ASAS14hr,0.45306839229004936,0.2626891072926358,0.0327196,0.802,0.06099999999999994,10.34,10.18,10.45,CSPII,
ASAS14hu,0.1278044944868384,0.28616828912321085,0.0218919,1.052,-0.04499999999999993,9.93,9.8,10.24,CSPII,
ASAS14jc,0.03415640531532915,0.3818257573458652,0.0117796,0.915,0.43700000000000117,9.46,9.32,9.77,CSPII,
ASAS14jg,0.30925264428441324,0.4549499493474711,0.014347,1.285,0.049000000000001265,8.76,8.57,8.88,CSPII,
ASAS14jz,-0.3399500502658839,0.32121886154500334,0.0156168,0.989,-0.04100000000000037,8.23,8.11,8.35,CSPII,
ASAS14kd,-0.31371477987012497,0.27693912064225823,0.0230683,1.169,0.2339999999999982,10.14,10.03,10.23,CSPII,
ASAS14kq,0.4004561096663295,0.2656368559208445,0.0325972,1.147,-0.020999999999997243,8.91,8.78,9.11,CSPII,
ASAS14lo,0.043846395310367825,0.40624082971406633,0.0210151,0.952,0.12700000000000067,9.69,9.47,9.79,CSPII,
ASAS14lp,-1.554353734315594,0.6124479155116616,0.0062254,1.029,0.24300000000000033,10.74,10.6,10.91,CSPII,
ASAS14lq,0.11685494275079122,0.46678695621142857,0.0250833,0.999,0.019999999999999574,10.65,10.46,10.73,CSPII,
ASAS14lt,0.00010416411036828777,0.2640157224322273,0.0314552,0.944,-0.0329999999999977,10.64,10.56,10.7,CSPII,
ASAS14lw,0.47013922867386526,0.2953306950099884,0.0202609,1.25,-0.012000000000000455,6.35,6.08,6.72,CSPII,
ASAS14me,-0.15992454491260588,0.30529604731882337,0.017386,1.078,0.006999999999999673,9.05,8.91,9.15,CSPII,
ASAS14mf,0.10562183597626529,0.261402146553022,0.0301521,0.984,-0.012000000000000455,8.93,8.66,9.03,CSPII,
ASAS14mw,-0.047081089341197924,0.26312342079509077,0.0271207,1.063,-0.03399999999999892,10.68,10.59,10.75,CSPII,
ASAS14my,-0.2683679524290312,0.2949442354929622,0.0217279,0.923,0.014999999999998792,10.31,10.11,10.74,CSPII,
ASAS15aj,-0.15165187294632432,0.3753942991985665,0.0120218,0.831,0.10299999999999976,11.2,11.05,11.35,CSPII,
ASAS15al,0.02484005689842661,0.4023070816464215,0.0337612,1.077,0.054999999999999716,8.07,8.03,8.23,CSPII,
ASAS15as,-0.21919908873474014,0.2743742872155439,0.0297845,1.076,0.028999999999999915,7.66,7.47,8.01,CSPII,
ASAS15ba,0.0035411185847280535,0.27196056583588224,0.0239771,0.967,0.008000000000000895,7.99,7.83,8.19,CSPII,
ASAS15be,0.1577993693307107,0.28619825718940706,0.0213892,1.134,0.019000000000000128,7.8,7.66,8.16,CSPII,
ASAS15bm,-0.21207379045416275,0.2840694340317341,0.0214395,0.991,0.12700000000000067,10.02,9.89,10.15,CSPII,
ASAS15cd,-0.04586139028714342,0.24993234414178916,0.0353887,1.003,-0.021000000000000796,9.95,9.85,10.02,CSPII,
ASAS15da,0.4660491562818052,0.43547762833791,0.0488203,0.853,-0.1319999999999979,10.4,10.23,10.48,CSPII,
ASAS15db,0.08093802147144658,0.38464119193776275,0.0113676,0.955,0.0860000000000003,10.11,9.98,10.19,CSPII,
ASAS15dd,-0.0049687468383652345,0.2707132481717228,0.0247417,0.849,-0.0070000000000014495,10.41,10.31,10.52,CSPII,
ASAS15eb,0.25436299647927285,0.33579904808361477,0.0173082,0.821,-0.12899999999999956,10.96,10.79,11.4,CSPII,
ASAS15fr,0.355728590188761,0.40215565474686016,0.0345082,0.905,-0.13299999999999912,9.98,9.89,10.06,CSPII,
ASAS15ga,0.611664068937614,0.5741912291635468,0.0076517,0.496,0.43100000000000094,10.38,10.18,10.48,CSPII,
ASAS15go,0.11765158954142407,0.3005968284769599,0.0192546,1.071,0.22400000000000198,10.18,10.04,10.27,CSPII,
ASAS15gr,0.0633761820195815,0.2699172750241667,0.0247678,1.035,-0.036000000000001364,8.94,8.82,9.02,CSPII,
ASAS15hf,0.5598704929530385,0.544172089512278,0.0072452,0.943,0.009000000000000341,9.56,9.39,9.97,CSPII,
ASAS15hg,0.11258904118187019,0.38614283378807635,0.0308678,0.82,0.06299999999999883,10.42,10.3,10.51,CSPII,
ASAS15hx,-0.563935853085674,0.4535929631490112,0.0092051,1.039,-0.030000000000001137,7.45,7.06,7.89,CSPII,
CSP12J,0.4447655643078434,0.6803819978286824,0.0149235,0.484,0.5549999999999997,10.09,9.97,10.2,CSPII,
CSP13abm,0.729664601713111,0.26705603494797114,0.027529,1.129,-0.006000000000000227,11.5,11.5,11.5,CSPII,
CSP14aaq,-0.05487563458845557,0.2821906633864533,0.0361755,0.898,-0.08999999999999986,11.08,11.01,11.48,CSPII,
CSP14abn,-0.1144757231860325,0.28552879255686087,0.0232746,1.007,-0.0259999999999998,9.75,9.59,10.24,CSPII,
CSP14acl,0.5574992211308967,0.2772270791680252,0.0289327,0.96,-0.07099999999999795,11.5,11.5,11.5,CSPII,
CSP14adc,-0.23669900572484437,0.2691433752591933,0.031651,0.811,0.23200000000000287,10.81,10.67,11.14,CSPII,
CSP15B,-0.03699745554008871,0.3017248919643148,0.0208198,0.718,0.1399999999999988,10.95,10.78,11.42,CSPII,
CSP15aae,0.08593359568373415,0.31214004821196195,0.0169733,0.505,0.4540000000000006,11.14,10.96,11.26,CSPII,
KISS15m,0.29802946661186525,0.3389423539568339,0.0253844,0.425,0.6219999999999999,9.78,9.67,9.94,CSPII,
KISS15n,-0.4104766626956433,0.2814234612046262,0.0239783,1.225,0.09700000000000131,8.0,7.8,8.17,CSPII,
LSQ11bk,-0.08269901518636402,0.2618622507705424,0.0400251,1.071,-0.0779999999999994,6.53,6.5,6.59,CSPII,
LSQ11ot,0.48770959626076404,0.2615550516409673,0.0273222,0.982,0.3200000000000003,10.17,10.0,10.22,CSPII,
LSQ11pn,-0.3982992085198873,0.2647971673180047,0.0326611,0.503,0.2870000000000026,10.7,10.52,10.8,CSPII,
LSQ12ca,0.26499971460582117,0.4393007591397596,0.0995466,0.947,-0.04999999999999716,10.44,10.34,10.64,CSPII,
