sn,res,eres,zcmb,st,B-V,m,ml,mu,sample,cal
ASAS14ad,0.05675082711638879,0.2051157559049782,0.0274352,1.013,-0.03,8.61,8.23,8.78,CSPII,none
ASAS14hp,-0.26962040009487254,0.19122896997371341,0.0386676,1.077,-0.055,9.09,8.98,9.15,CSPII,none
ASAS14hr,0.08492163957831167,0.19759723707708454,0.0327196,0.803,0.053,10.34,10.18,10.45,CSPII,none
ASAS14hu,-0.15073543322490224,0.22859194772078584,0.0218919,1.05,-0.052,9.93,9.8,10.24,CSPII,none
ASAS14jc,-0.08865820439639549,0.3364006931911848,0.0117796,0.914,0.426,9.46,9.32,9.77,CSPII,none
ASAS14jg,0.3269193345726862,0.31520266882147063,0.014347,1.3,0.068,8.76,8.57,8.88,CSPII,none
ASAS14jz,-0.32288911697760625,0.27448526107820426,0.0156168,0.985,-0.045,8.23,8.11,8.35,CSPII,none
ASAS14kd,0.0115804984181338,0.2230236829385077,0.0230683,1.174,0.221,10.14,10.03,10.23,CSPII,none
ASAS14kq,0.2907333469546032,0.20332650908075778,0.0325972,1.157,-0.038,8.91,8.78,9.11,CSPII,none
ASAS14lo,-0.08283273240137845,0.2659744141011217,0.0210151,0.95,0.116,9.69,9.47,9.79,CSPII,none
ASAS14lp,-1.4874812410273215,0.5800832434733721,0.0062254,1.027,0.237,10.74,10.6,10.91,CSPII,none
ASAS14lq,-0.05892508396093632,0.27287400764405717,0.0250833,1.005,0.013,10.65,10.46,10.73,CSPII,none
ASAS14lt,-0.18519673260134795,0.1993059702010743,0.0314552,0.947,-0.034,10.64,10.56,10.7,CSPII,none
ASAS14lw,0.17965056896214548,0.24099596413991106,0.0202609,1.156,-0.01,6.35,6.08,6.72,CSPII,none
ASAS14me,-0.07889263262433843,0.2567664293350887,0.017386,1.078,0.001,9.05,8.91,9.15,CSPII,none
ASAS14mf,0.03566652426454198,0.1992348583798322,0.0301521,0.982,-0.022,8.93,8.66,9.03,CSPII,none
ASAS14mw,-0.16184297205293063,0.20767017805921478,0.0271207,1.063,-0.042,10.68,10.59,10.75,CSPII,none
ASAS14my,-0.28537575514077673,0.2290985801294323,0.0217279,0.921,0.007,10.31,10.11,10.74,CSPII,none
ASAS15aj,-0.1903387946580608,0.3316061578647114,0.0120218,0.83,0.095,11.2,11.05,11.35,CSPII,none
ASAS15al,0.11821225418668746,0.2587232007410697,0.0337612,1.079,0.043,8.07,8.03,8.23,CSPII,none
ASAS15as,-0.2234548654464632,0.21387992560396313,0.0297845,1.077,0.018,7.66,7.47,8.01,CSPII,none
ASAS15ba,-0.07059560412699994,0.21594526476692788,0.0239771,0.965,0.0,7.99,7.83,8.19,CSPII,none
ASAS15be,0.07750335761898697,0.22952384436775938,0.0213892,1.14,0.008,7.8,7.66,8.16,CSPII,none
ASAS15bm,-0.32936897716587765,0.2291323856443242,0.0214395,0.989,0.119,10.02,9.89,10.15,CSPII,none
ASAS15cb,-0.2576001663157115,0.3664399213386213,0.0411361,1.088,0.102,10.28,10.17,10.4,CSPII,none
ASAS15cd,-0.06762955299888063,0.18880523040438474,0.0353887,1.001,-0.03,9.95,9.85,10.02,CSPII,none
