sn,res,eres,zcmb,st,B-V,m,ml,mu,sample,cal
ASAS14ad,0.3048230222652819,0.19930550273765774,0.0274352,1.013,-0.03,8.61,8.23,8.78,CSPII,none
ASAS14hp,-0.053068364945964674,0.1823668021849716,0.0386676,1.077,-0.055,9.09,8.98,9.15,CSPII,none
ASAS14hr,0.06364559472723386,0.18936758416134125,0.0327196,0.803,0.053,10.34,10.18,10.45,CSPII,none
ASAS14hu,0.08301206592401655,0.2039392178865632,0.0218919,1.05,-0.052,9.93,9.8,10.24,CSPII,none
ASAS14jc,-0.09383944124747501,0.2734276050484839,0.0117796,0.914,0.426,9.46,9.32,9.77,CSPII,none
ASAS14jg,-0.20950316627840238,0.26331295068083715,0.014347,1.3,0.068,8.76,8.57,8.88,CSPII,none
ASAS14jz,-0.35753621782870226,0.2309144093079607,0.0156168,0.985,-0.045,8.23,8.11,8.35,CSPII,none
ASAS14kd,-0.22791881843293993,0.21180296611961402,0.0230683,1.174,0.221,10.14,10.03,10.23,CSPII,none
ASAS14lp,-1.237252005878407,0.43455539810853555,0.0062254,1.027,0.237,10.74,10.6,10.91,CSPII,none
ASAS14lq,0.32578701518797715,0.2397839060084538,0.0250833,1.005,0.013,10.65,10.46,10.73,CSPII,none
ASAS14lt,-0.0474047774524351,0.1856146963063866,0.0314552,0.947,-0.034,10.64,10.56,10.7,CSPII,none
ASAS14lw,0.09094829211104383,0.2167914113294821,0.0202609,1.156,-0.01,6.35,6.08,6.72,CSPII,none
ASAS14me,0.06871592252457503,0.22111222901295977,0.017386,1.078,0.001,9.05,8.91,9.15,CSPII,none
ASAS14mw,0.06345442309599747,0.18939927453023828,0.0271207,1.063,-0.042,10.68,10.59,10.75,CSPII,none
ASAS14my,-0.06934151199185123,0.20725924792864492,0.0217279,0.921,0.007,10.31,10.11,10.74,CSPII,none
ASAS15aj,-0.18116969550914774,0.26723659150689183,0.0120218,0.83,0.095,11.2,11.05,11.35,CSPII,none
ASAS15al,0.23046049733559926,0.23075036332692733,0.0337612,1.079,0.043,8.07,8.03,8.23,CSPII,none
ASAS15as,0.02247316970244384,0.20115039638704182,0.0297845,1.077,0.018,7.66,7.47,8.01,CSPII,none
ASAS15ba,0.1629812950219005,0.197882410255638,0.0239771,0.965,0.0,7.99,7.83,8.19,CSPII,none
ASAS15be,0.10072725676789673,0.20352688978950823,0.0213892,1.14,0.008,7.8,7.66,8.16,CSPII,none
ASAS15bm,0.0029871859830308267,0.20169214947782643,0.0214395,0.989,0.119,10.02,9.89,10.15,CSPII,none
ASAS15cb,-0.4020001711668044,0.3279383424518706,0.0411361,1.088,0.102,10.28,10.17,10.4,CSPII,none
ASAS15cd,0.13919653015003774,0.1781121103521701,0.0353887,1.001,-0.03,9.95,9.85,10.02,CSPII,none
ASAS15db,0.04579934190863355,0.2747748770058129,0.0113676,0.953,0.078,10.11,9.98,10.19,CSPII,none
ASAS15dd,-0.38319189040118573,0.19501968795753863,0.0247417,0.849,-0.017,10.41,10.31,10.52,CSPII,none
ASAS15fr,0.12452765462595039,0.2031831316391958,0.0345082,0.905,-0.147,9.98,9.89,10.06,CSPII,none
