sn,res,eres,zcmb,st,B-V,m,ml,mu,sample,cal
ASAS14ad,0.060569722785196234,0.23929848136236623,0.0274352,1.013,-0.03,8.61,8.23,8.78,CSPII,none
ASAS14hp,-0.1942955844260652,0.20401596378558862,0.0386676,1.077,-0.055,9.09,8.98,9.15,CSPII,none
ASAS14hr,0.0708594152471207,0.20897894831895059,0.0327196,0.803,0.053,10.34,10.18,10.45,CSPII,none
ASAS14hu,0.024774489443913694,0.22737762225025684,0.0218919,1.05,-0.052,9.93,9.8,10.24,CSPII,none
ASAS14jc,0.018529350272430634,0.30517507520528453,0.0117796,0.914,0.426,9.46,9.32,9.77,CSPII,none
ASAS14jg,-0.05735324275849507,0.27887562796147497,0.014347,1.3,0.068,8.76,8.57,8.88,CSPII,none
ASAS14jz,-0.2704988693088026,0.25351185914248986,0.0156168,0.985,-0.045,8.23,8.11,8.35,CSPII,none
ASAS14kd,-0.4104709869130403,0.2550304205114992,0.0230683,1.174,0.221,10.14,10.03,10.23,CSPII,none
ASAS14kq,0.09408840262343432,0.2112143405079164,0.0325972,1.157,-0.038,8.91,8.78,9.11,CSPII,none
ASAS14lp,-1.2351108253585004,0.45833388242747086,0.0062254,1.027,0.237,10.74,10.6,10.91,CSPII,none
ASAS14lq,0.23089776370787973,0.2741053227124408,0.0250833,1.005,0.013,10.65,10.46,10.73,CSPII,none
ASAS14lt,0.056409043067475295,0.21017590547322595,0.0314552,0.947,-0.034,10.64,10.56,10.7,CSPII,none
ASAS14lw,0.2253121036309409,0.23699282852727807,0.0202609,1.156,-0.01,6.35,6.08,6.72,CSPII,none
ASAS14me,-0.15858018195552148,0.2525983916299099,0.017386,1.078,0.001,9.05,8.91,9.15,CSPII,none
ASAS14mw,-0.024333476384107655,0.21364077004816845,0.0271207,1.063,-0.042,10.68,10.59,10.75,CSPII,none
ASAS14my,-0.09522083547196303,0.23148472606188972,0.0217279,0.921,0.007,10.31,10.11,10.74,CSPII,none
ASAS15aj,-0.13855607198923536,0.29000014037493227,0.0120218,0.83,0.095,11.2,11.05,11.35,CSPII,none
ASAS15al,0.35849717385551116,0.2280180959519479,0.0337612,1.079,0.043,8.07,8.03,8.23,CSPII,none
ASAS15as,0.023945950222348245,0.24350713267100876,0.0297845,1.077,0.018,7.66,7.47,8.01,CSPII,none
ASAS15ba,-0.039688356458178475,0.23149780462346572,0.0239771,0.965,0.0,7.99,7.83,8.19,CSPII,none
ASAS15be,0.04191398028779503,0.22790801623218238,0.0213892,1.14,0.008,7.8,7.66,8.16,CSPII,none
ASAS15bm,-0.1168540974970611,0.2262693381131176,0.0214395,0.989,0.119,10.02,9.89,10.15,CSPII,none
ASAS15cb,-0.16299349564690147,0.2746519372853354,0.0411361,1.088,0.102,10.28,10.17,10.4,CSPII,none
