sn,res,eres,zcmb,st,B-V,m,ml,mu,sample,cal
ASAS14ad,0.13747287081618254,0.1734477191309932,0.0274352,1.013,-0.03,8.61,8.23,8.78,CSPII,none
ASAS14hp,-0.11362779639508602,0.13536312378567172,0.0386676,1.077,-0.055,9.09,8.98,9.15,CSPII,none
ASAS14hr,-0.0071304767218904885,0.14668111661620584,0.0327196,0.803,0.053,10.34,10.18,10.45,CSPII,none
ASAS14hu,0.030098171474890023,0.16716991216205754,0.0218919,1.05,-0.052,9.93,9.8,10.24,CSPII,none
ASAS14jc,-0.24860202369660556,0.26594431836553634,0.0117796,0.914,0.426,9.46,9.32,9.77,CSPII,none
ASAS14jg,0.09981543927247571,0.23114922731781348,0.014347,1.3,0.068,8.76,8.57,8.88,CSPII,none
ASAS14jz,-0.20482453727782257,0.2064542609608326,0.0156168,0.985,-0.045,8.23,8.11,8.35,CSPII,none
ASAS14kd,-0.0984700408820629,0.2077813358393138,0.0230683,1.174,0.221,10.14,10.03,10.23,CSPII,none
ASAS14kq,0.20642627065439711,0.144663889189237,0.0325972,1.157,-0.038,8.91,8.78,9.11,CSPII,none
ASAS14lo,0.1463968722984248,0.18654207025416322,0.0210151,0.95,0.116,9.69,9.47,9.79,CSPII,none
ASAS14lp,-1.3986658373275276,0.44153746348006007,0.0062254,1.027,0.237,10.74,10.6,10.91,CSPII,none
ASAS14lq,0.09628929573885614,0.20443285103883302,0.0250833,1.005,0.013,10.65,10.46,10.73,CSPII,none
ASAS14lt,-0.031084848901542728,0.14607773992720927,0.0314552,0.947,-0.034,10.64,10.56,10.7,CSPII,none
ASAS14lw,0.3172738896619336,0.18089215854583793,0.0202609,1.156,-0.01,6.35,6.08,6.72,CSPII,none
ASAS14me,0.0552792760754528,0.20086053233317802,0.017386,1.078,0.001,9.05,8.91,9.15,CSPII,none
ASAS14mf,-0.09264012703565783,0.1881368293300973,0.0301521,0.982,-0.022,8.93,8.66,9.03,CSPII,none
ASAS14mw,0.02259287164686441,0.15058797414936478,0.0271207,1.063,-0.042,10.68,10.59,10.75,CSPII,none
ASAS14my,-0.06672787944098246,0.1697446797096995,0.0217279,0.921,0.007,10.31,10.11,10.74,CSPII,none
ASAS15aj,-0.29979278995826775,0.25053732962475006,0.0120218,0.83,0.095,11.2,11.05,11.35,CSPII,none
ASAS15al,0.3447301298864929,0.14807823472833523,0.0337612,1.079,0.043,8.07,8.03,8.23,CSPII,none
ASAS15as,0.13606373825333407,0.15214348593847224,0.0297845,1.077,0.018,7.66,7.47,8.01,CSPII,none
ASAS15ba,0.028839975572786614,0.172423101029569,0.0239771,0.965,0.0,7.99,7.83,8.19,CSPII,none
ASAS15be,0.1402970623187798,0.16944903781620896,0.0213892,1.14,0.008,7.8,7.66,8.16,CSPII,none
ASAS15bm,-0.13942482146608626,0.16919054275148881,0.0214395,0.989,0.119,10.02,9.89,10.15,CSPII,none
ASAS15cb,-0.4762067976159301,0.17389686158005327,0.0411361,1.088,0.102,10.28,10.17,10.4,CSPII,none
ASAS15cd,0.07194888270092292,0.13636725261088292,0.0353887,1.001,-0.03,9.95,9.85,10.02,CSPII,none
ASAS15db,0.09371307045951482,0.2627007775963772,0.0113676,0.953,0.078,10.11,9.98,10.19,CSPII,none
ASAS15dd,-0.12009193785031158,0.1624022904495415,0.0247417,0.849,-0.017,10.41,10.31,10.52,CSPII,none
ASAS15fr,0.06722293517682942,0.16121432278512143,0.0345082,0.905,-0.147,9.98,9.89,10.06,CSPII,none
ASAS15ga,0.1649106419256796,0.38679207848225555,0.0076517,0.5,0.421,10.38,10.18,10.48,CSPII,none
ASAS15go,0.1797778165294872,0.18188097958199884,0.0192546,1.072,0.214,10.18,10.04,10.27,CSPII,none
ASAS15gr,0.05433414300764383,0.1687751335956664,0.0247678,1.031,-0.046,8.94,8.82,9.02,CSPII,none
ASAS15hf,0.24407300594111092,0.39337992483308143,0.0072452,0.939,0.004,9.56,9.39,9.97,CSPII,none
ASAS15hg,0.009786742169936247,0.17118603175062672,0.0308678,0.824,0.048,10.42,10.3,10.51,CSPII,none
ASAS15hx,-0.47061815409763597,0.3109090219466489,0.0092051,1.034,-0.035,7.45,7.06,7.89,CSPII,none
CSP12G,-0.10905429714853199,0.16606643837690807,0.0379661,1.158,0.109,8.41,8.29,8.49,CSPII,none
CSP12N,0.069372913399107,0.11951373603272403,0.0982741,1.062,-0.11,7.51,7.32,7.66,CSPII,none
CSP13N,-0.11222933316381045,0.14127726828459072,0.0487969,1.145,-0.015,10.07,9.88,10.24,CSPII,none
