sn,res,eres,zcmb,st,B-V,m,ml,mu,sample,cal
ASAS14ad,0.09690743845272465,0.19192379449726857,0.0274352,1.013,-0.03,8.61,8.23,8.78,CSPII,none
ASAS14hp,-0.23937214875854096,0.16989206482119046,0.0386676,1.077,-0.055,9.09,8.98,9.15,CSPII,none
ASAS14hr,0.18255421091466673,0.18115884673216615,0.0327196,0.803,0.053,10.34,10.18,10.45,CSPII,none
ASAS14hu,-0.10596221288855645,0.21348898480634784,0.0218919,1.05,-0.052,9.93,9.8,10.24,CSPII,none
ASAS14jc,0.06465715993995502,0.32686788843176173,0.0117796,0.914,0.426,9.46,9.32,9.77,CSPII,none
ASAS14jg,0.173825054909031,0.32143346476010565,0.014347,1.3,0.068,8.76,8.57,8.88,CSPII,none
ASAS14jz,-0.2411381216412707,0.26310576964708043,0.0156168,0.985,-0.045,8.23,8.11,8.35,CSPII,none
ASAS14kd,-0.01966081724550861,0.2075804896178695,0.0230683,1.174,0.221,10.14,10.03,10.23,CSPII,none
ASAS14kq,0.2814246782909464,0.1816850893232946,0.0325972,1.157,-0.038,8.91,8.78,9.11,CSPII,none
ASAS14lo,-0.002483512065019511,0.2706292901907518,0.0210151,0.95,0.116,9.69,9.47,9.79,CSPII,none
ASAS14lp,-1.4564217896909746,0.5726886502406515,0.0062254,1.027,0.237,10.74,10.6,10.91,CSPII,none
ASAS14lq,0.006644111375415207,0.2875255368145432,0.0250833,1.005,0.013,10.65,10.46,10.73,CSPII,none
ASAS14lt,-0.11428716126498983,0.18493833985614336,0.0314552,0.947,-0.034,10.64,10.56,10.7,CSPII,none
ASAS14lw,0.1813625932984877,0.22488018530192447,0.0202609,1.156,-0.01,6.35,6.08,6.72,CSPII,none
ASAS14me,-0.032357836287992825,0.24458027452690162,0.017386,1.078,0.001,9.05,8.91,9.15,CSPII,none
ASAS14mf,0.09309368060088019,0.18473218920503623,0.0301521,0.982,-0.022,8.93,8.66,9.03,CSPII,none
ASAS14mw,-0.13485216071657646,0.19154353644156313,0.0271207,1.063,-0.042,10.68,10.59,10.75,CSPII,none
ASAS14my,-0.19980693580442477,0.21537001743297898,0.0217279,0.921,0.007,10.31,10.11,10.74,CSPII,none
ASAS15aj,-0.1320469743217103,0.3213944406224361,0.0120218,0.83,0.095,11.2,11.05,11.35,CSPII,none
ASAS15al,0.16037307352303998,0.24180855212902277,0.0337612,1.079,0.043,8.07,8.03,8.23,CSPII,none
ASAS15as,-0.18343561411012388,0.18813483428132516,0.0297845,1.077,0.018,7.66,7.47,8.01,CSPII,none
ASAS15ba,0.013719391209342291,0.20258051846503966,0.0239771,0.965,0.0,7.99,7.83,8.19,CSPII,none
ASAS15be,0.09160347795532431,0.21566835050388913,0.0213892,1.14,0.008,7.8,7.66,8.16,CSPII,none
ASAS15bm,-0.24432883782954207,0.2162190553248589,0.0214395,0.989,0.119,10.02,9.89,10.15,CSPII,none
ASAS15cd,-0.03212109366253202,0.17374715924242928,0.0353887,1.001,-0.03,9.95,9.85,10.02,CSPII,none
ASAS15da,0.32199805290643013,0.2568403292180196,0.0488203,0.851,-0.133,10.4,10.23,10.48,CSPII,none
ASAS15db,0.14421995809605903,0.33553891099913025,0.0113676,0.953,0.078,10.11,9.98,10.19,CSPII,none
ASAS15dd,-0.002342514213751201,0.2003547973821324,0.0247417,0.849,-0.017,10.41,10.31,10.52,CSPII,none
ASAS15eb,0.26570073510389136,0.2519116838496892,0.0173082,0.82,-0.136,10.96,10.79,11.4,CSPII,none
ASAS15fr,0.28656975081337777,0.2470560849907888,0.0345082,0.905,-0.147,9.98,9.89,10.06,CSPII,none
ASAS15ga,0.5953452575622222,0.49694846289834643,0.0076517,0.5,0.421,10.38,10.18,10.48,CSPII,none
ASAS15go,0.11284450416604841,0.23088546691641032,0.0192546,1.072,0.214,10.18,10.04,10.27,CSPII,none
ASAS15gr,0.009065846644197961,0.19967343466512022,0.0247678,1.031,-0.046,8.94,8.82,9.02,CSPII,none
ASAS15hf,0.6374727895776644,0.4981343630810759,0.0072452,0.939,0.004,9.56,9.39,9.97,CSPII,none
ASAS15hg,0.1325865658064842,0.24251770894230051,0.0308678,0.824,0.048,10.42,10.3,10.51,CSPII,none
ASAS15hx,-0.5502098904610548,0.4014952902450096,0.0092051,1.034,-0.035,7.45,7.06,7.89,CSPII,none
CSP12J,-0.4230509430675511,0.4282831759512519,0.0149235,0.484,0.555,10.09,9.97,10.2,CSPII,none
CSP12N,-0.14413711896435188,0.1503968079217787,0.0982741,1.062,-0.11,7.51,7.32,7.66,CSPII,none
CSP13aad,0.005157237206496745,0.2588729466239043,0.0865709,1.193,0.029,9.65,9.59,9.8,CSPII,none
CSP13abm,0.3759989403377375,0.19161971970934707,0.027529,1.14,-0.018,11.5,11.5,11.5,CSPII,none
CSP14aaq,-0.006161391963836138,0.18425788445429536,0.0361755,0.905,-0.085,11.08,11.01,11.48,CSPII,none
CSP14abn,-0.12341789656142765,0.20598344845195993,0.0232746,1.004,-0.036,9.75,9.59,10.24,CSPII,none
CSP14acl,0.43025421575551803,0.18975503173333205,0.0289327,0.959,-0.081,11.5,11.5,11.5,CSPII,none
CSP14adc,-0.13413527710019935,0.1825526894668469,0.031651,0.815,0.219,10.81,10.67,11.14,CSPII,none
CSP15B,-0.050405002915482555,0.22098498439978367,0.0208198,0.72,0.132,10.95,10.78,11.42,CSPII,none
CSP15aae,-0.002928243691648902,0.24959463214187738,0.0169733,0.505,0.455,11.14,10.96,11.26,CSPII,none
KISS15m,0.12464945123648619,0.21299923829028852,0.0253844,0.429,0.62,9.78,9.67,9.94,CSPII,none
KISS15n,-0.4045911180710249,0.20525747689669502,0.0239783,1.241,0.102,8.0,7.8,8.17,CSPII,none
LSQ11bk,0.09640749743825694,0.17278099631375324,0.0400251,1.071,-0.079,6.53,6.5,6.59,CSPII,none
