sn,res,eres,zcmb,st,B-V,m,ml,mu,sample,cal
ASAS14ad,0.11535148019561348,0.18416497242888188,0.0274352,1.013,-0.03,8.61,8.23,8.78,CSPII,none
ASAS14hp,-0.1878566270156412,0.16315442188925244,0.0386676,1.077,-0.055,9.09,8.98,9.15,CSPII,none
ASAS14hr,0.05123397265754903,0.17210173149159305,0.0327196,0.803,0.053,10.34,10.18,10.45,CSPII,none
ASAS14hu,-0.04326148314566325,0.21002476411353466,0.0218919,1.05,-0.052,9.93,9.8,10.24,CSPII,none
ASAS14jc,-0.1197143023171563,0.3306260820916766,0.0117796,0.914,0.426,9.46,9.32,9.77,CSPII,none
ASAS14jg,0.3082557846519265,0.30619326896276045,0.014347,1.3,0.068,8.76,8.57,8.88,CSPII,none
ASAS14jz,-0.33384559189837404,0.2628094442400197,0.0156168,0.985,-0.045,8.23,8.11,8.35,CSPII,none
ASAS14kd,-0.10989503950262502,0.2034363814031166,0.0230683,1.174,0.221,10.14,10.03,10.23,CSPII,none
ASAS14kq,0.20945576003384048,0.17703239181339844,0.0325972,1.157,-0.038,8.91,8.78,9.11,CSPII,none
ASAS14lo,-0.007358782322135937,0.24168848644338997,0.0210151,0.95,0.116,9.69,9.47,9.79,CSPII,none
ASAS14lp,-1.507769867948081,0.589276391188885,0.0062254,1.027,0.237,10.74,10.6,10.91,CSPII,none
ASAS14lq,0.09006104111830382,0.24386125012867588,0.0250833,1.005,0.013,10.65,10.46,10.73,CSPII,none
ASAS14lt,-0.15893439952210997,0.1749011708697464,0.0314552,0.947,-0.034,10.64,10.56,10.7,CSPII,none
ASAS14lw,0.26777425104136654,0.22293444862769357,0.0202609,1.156,-0.01,6.35,6.08,6.72,CSPII,none
ASAS14me,-0.06306487454509835,0.242904249415309,0.017386,1.078,0.001,9.05,8.91,9.15,CSPII,none
ASAS14mf,-0.02036483765622421,0.17593316688447289,0.0301521,0.982,-0.022,8.93,8.66,9.03,CSPII,none
ASAS14mw,-0.08861171897368791,0.18552329825240685,0.0271207,1.063,-0.042,10.68,10.59,10.75,CSPII,none
ASAS14my,-0.3194088380615412,0.21126855303432324,0.0217279,0.921,0.007,10.31,10.11,10.74,CSPII,none
ASAS15aj,-0.3729780445788293,0.32519467067179575,0.0120218,0.83,0.095,11.2,11.05,11.35,CSPII,none
ASAS15al,0.15620317126592909,0.22261465152534898,0.0337612,1.079,0.043,8.07,8.03,8.23,CSPII,none
ASAS15as,-0.050641092367229135,0.18664012048316564,0.0297845,1.077,0.018,7.66,7.47,8.01,CSPII,none
ASAS15ba,-0.04127507904776451,0.19679138353021866,0.0239771,0.965,0.0,7.99,7.83,8.19,CSPII,none
ASAS15be,0.13443500769822236,0.21194008589831614,0.0213892,1.14,0.008,7.8,7.66,8.16,CSPII,none
ASAS15bm,-0.26077050008664315,0.2112408423280094,0.0214395,0.989,0.119,10.02,9.89,10.15,CSPII,none
ASAS15cb,-0.16732798823647954,0.3043801706802531,0.0411361,1.088,0.102,10.28,10.17,10.4,CSPII,none
ASAS15cd,0.0227044840803714,0.16383261276426295,0.0353887,1.001,-0.03,9.95,9.85,10.02,CSPII,none
ASAS15da,0.16846023064932325,0.20479382214798608,0.0488203,0.851,-0.133,10.4,10.23,10.48,CSPII,none
ASAS15db,0.010817919838956414,0.33975164416236003,0.0113676,0.953,0.078,10.11,9.98,10.19,CSPII,none
ASAS15dd,-0.10112953647085732,0.19393982869506204,0.0247417,0.849,-0.017,10.41,10.31,10.52,CSPII,none
ASAS15eb,0.09139466484677428,0.2542352584278928,0.0173082,0.82,-0.136,10.96,10.79,11.4,CSPII,none
ASAS15fr,0.2247086805562688,0.20715656018976542,0.0345082,0.905,-0.147,9.98,9.89,10.06,CSPII,none
ASAS15ga,0.4694249873051177,0.5235959627836915,0.0076517,0.5,0.421,10.38,10.18,10.48,CSPII,none
ASAS15go,0.1302452659089468,0.23051596897433785,0.0192546,1.072,0.214,10.18,10.04,10.27,CSPII,none
ASAS15gr,-0.06865249561290909,0.19398386683794314,0.0247678,1.031,-0.046,8.94,8.82,9.02,CSPII,none
ASAS15hf,0.5155489273205518,0.5113668480336546,0.0072452,0.939,0.004,9.56,9.39,9.97,CSPII,none
ASAS15hg,0.017716943549380915,0.2069544193283132,0.0308678,0.824,0.048,10.42,10.3,10.51,CSPII,none
ASAS15hx,-0.5349958727181701,0.4103733709437371,0.0092051,1.034,-0.035,7.45,7.06,7.89,CSPII,none
CSP12G,0.03497883223091236,0.23684246705536674,0.0379661,1.158,0.109,8.41,8.29,8.49,CSPII,none
CSP12J,-0.240502125324646,0.3207771495672347,0.0149235,0.484,0.555,10.09,9.97,10.2,CSPII,none
CSP12N,-0.055494677221453514,0.14116451818702194,0.0982741,1.062,-0.11,7.51,7.32,7.66,CSPII,none
CSP13N,-0.2227455877843667,0.2082940397768182,0.0487969,1.145,-0.015,10.07,9.88,10.24,CSPII,none
CSP13Q,-0.07598852032153047,0.8520771353312806,0.0887656,0.768,-0.046,10.25,10.06,10.74,CSPII,none
CSP13V,-7.306953979480113e-05,0.29178267540078884,0.0611394,1.069,-0.075,11.5,11.5,11.5,CSPII,none
CSP13Z,-0.09422803639969146,0.16169608459994556,0.0800694,1.215,-0.026,8.35,8.25,8.85,CSPII,none
CSP13aad,-0.058187881050621115,0.24351332745732224,0.0865709,1.193,0.029,9.65,9.59,9.8,CSPII,none
CSP13aaf,0.021718411958630668,0.15413454015607728,0.0787193,1.131,-0.056,10.66,10.53,11.04,CSPII,none
CSP13aam,0.0756397821568342,0.15320446166193002,0.0750921,1.138,-0.15,9.05,8.65,9.23,CSPII,none
CSP13aao,-0.3888004251950363,0.2538144778419376,0.0616022,0.7,0.123,9.93,9.8,10.09,CSPII,none
CSP13aaq,0.14661751744635865,0.14419201301997334,0.0597706,0.984,-0.057,11.5,11.5,11.5,CSPII,none
CSP13aay,0.3581355234453767,0.151872744178358,0.0587551,1.142,0.037,11.5,11.5,11.5,CSPII,none
CSP13abl,0.29129783384810537,0.2504465339100686,0.0406288,0.812,1.061,8.91,8.9,9.04,CSPII,none
CSP13abm,0.4263924700806143,0.1865311007403673,0.027529,1.14,-0.018,11.5,11.5,11.5,CSPII,none
CSP13abs,-0.06840180757388481,0.1644355677654376,0.0783462,1.22,-0.062,6.36,6.23,6.48,CSPII,none
CSP14aaq,-0.09051646222094689,0.17692280080699246,0.0361755,0.905,-0.085,11.08,11.01,11.48,CSPII,none
CSP14aar,-0.08156297218796738,0.15946910787007523,0.0423854,0.982,-0.016,9.07,8.9,9.42,CSPII,none
CSP14abn,-0.13922359881851776,0.20196786675049302,0.0232746,1.004,-0.036,9.75,9.59,10.24,CSPII,none
CSP14acl,0.5515154334984089,0.18120064288523066,0.0289327,0.959,-0.081,11.5,11.5,11.5,CSPII,none
CSP14acy,-0.42560141324365475,0.24779429390773824,0.0660269,1.215,0.085,8.19,7.86,8.33,CSPII,none
CSP14adc,-0.10701874735731565,0.1752657660697647,0.031651,0.815,0.219,10.81,10.67,11.14,CSPII,none
CSP14ade,-0.12630617066758987,0.1554281571157311,0.0626358,1.181,0.034,10.49,10.33,10.97,CSPII,none
CSP15B,-0.1109090731725928,0.21728211040391077,0.0208198,0.72,0.132,10.95,10.78,11.42,CSPII,none
CSP15aae,0.1422046860512367,0.24714900128630826,0.0169733,0.505,0.455,11.14,10.96,11.26,CSPII,none
KISS13j,-0.14442127399133398,0.17736146264196817,0.0776331,0.872,0.132,9.83,9.65,10.21,CSPII,none
KISS13l,-0.08239545116432367,0.3451359287464117,0.1330018,1.106,-0.033,8.69,8.32,8.85,CSPII,none
KISS13v,-0.08240592806558311,0.14889903570654184,0.0962132,0.985,0.085,11.5,11.5,11.5,CSPII,none
KISS15m,0.3546609489793724,0.19702700144069388,0.0253844,0.429,0.62,9.78,9.67,9.94,CSPII,none
KISS15n,-0.38482770032812397,0.20196002867418908,0.0239783,1.241,0.102,8.0,7.8,8.17,CSPII,none
LSQ11bk,0.1789499951811493,0.1692112157647291,0.0400251,1.071,-0.079,6.53,6.5,6.59,CSPII,none
LSQ11ot,0.461248066628265,0.18277427687728068,0.0273222,0.982,0.318,10.17,10.0,10.22,CSPII,none
LSQ11pn,-0.07133855815236245,0.17111993566546824,0.0326611,0.507,0.285,10.7,10.52,10.8,CSPII,none
LSQ12agq,0.14519237079088043,0.21577885331012975,0.0653581,1.152,0.084,9.3,9.29,9.43,CSPII,none
LSQ12aor,0.08677506807948987,0.15806103771308921,0.0945588,0.827,-0.088,9.85,9.67,10.15,CSPII,none
LSQ12bld,-0.11165653783766771,0.14088201884215223,0.084303,0.892,0.101,10.55,10.42,10.64,CSPII,none
LSQ12btn,-0.00872465646234133,0.1465696518316862,0.0552706,0.832,0.098,10.9,10.84,10.94,CSPII,none
LSQ12ca,0.12148087697333665,0.269302799100547,0.0995466,1.195,-0.084,10.44,10.34,10.64,CSPII,none
LSQ12cda,-0.307659784985411,0.42444788719978827,0.1384035,0.814,0.087,9.82,9.69,9.98,CSPII,none
LSQ12cdl,-0.08279184318616473,0.25345776983842555,0.1090245,0.988,-0.143,8.81,8.79,8.93,CSPII,none
LSQ12fuk,0.02636346569388337,0.21722427140910108,0.0205571,1.003,-0.009,8.34,8.2,8.45,CSPII,none
LSQ12fvl,0.042575105837173055,0.14626592273150676,0.055977,0.61,0.251,10.74,10.55,10.93,CSPII,none
LSQ12fxd,-0.043507623992873334,0.17333196146853702,0.0313344,1.161,-0.008,10.28,10.16,10.4,CSPII,none
LSQ12gdj,-0.1945058461403022,0.17997778558883323,0.0292813,1.167,-0.035,8.66,8.36,8.76,CSPII,none
LSQ12gef,0.16407070332328288,0.23710169051358052,0.0631798,1.18,0.265,11.5,11.5,11.5,CSPII,none
LSQ12gln,0.12217702575269129,0.16276973219299143,0.1021611,1.113,-0.072,8.75,8.6,9.07,CSPII,none
LSQ12gxj,0.5254154559102133,0.1688816993252667,0.034596,1.107,0.262,9.18,9.06,9.31,CSPII,none
LSQ12gyc,0.1347692017377895,0.1747521218028646,0.0924863,1.145,-0.047,11.5,11.5,11.5,CSPII,none
LSQ12gzm,0.2620776092252939,0.2424405458872101,0.0993978,1.113,0.033,11.5,11.5,11.5,CSPII,none
LSQ12hjm,-0.03638010630587729,0.13857592601969743,0.0707978,0.963,-0.068,10.09,9.93,10.25,CSPII,none
LSQ12hno,0.21086912096357935,0.161238668822829,0.0468084,0.989,0.046,7.7,7.64,7.9,CSPII,none
LSQ12hnr,0.06405463311701709,0.24474304916144093,0.1255265,1.167,0.005,8.05,7.93,8.16,CSPII,none
LSQ12hvj,0.12554853485138295,0.15430637613634263,0.0723911,1.206,0.08,9.05,8.79,9.22,CSPII,none
LSQ12hxx,0.08923894047513414,0.18063556761536564,0.0689135,1.204,0.077,10.45,10.28,10.58,CSPII,none
LSQ12hzj,-0.11712509808850058,0.16534902701879034,0.0345752,0.97,-0.07,9.35,9.32,9.73,CSPII,none
LSQ12hzs,0.20807021065536446,0.15015098132481053,0.0718169,1.145,0.1,10.02,9.88,10.42,CSPII,none
LSQ13abo,-0.08801935806773997,0.16078431219129805,0.0681328,0.877,0.205,10.31,10.04,10.34,CSPII,none
LSQ13aiz,-0.6676613851850703,0.3728410103296541,0.0102493,0.964,0.08,8.24,8.12,8.34,CSPII,none
LSQ13cwp,-0.1061620628737927,0.155637104571979,0.0662474,0.94,0.086,10.54,10.39,10.7,CSPII,none
LSQ13dby,0.3520308675236876,0.14754690776915336,0.0995683,1.14,-0.044,11.5,11.5,11.5,CSPII,none
LSQ13dcy,0.32255315029502896,0.25063041999682084,0.0800671,1.213,0.095,9.18,9.01,9.34,CSPII,none
LSQ13dhj,0.10852796540967802,0.16438129362425616,0.0929027,1.16,0.057,8.63,8.27,8.78,CSPII,none
LSQ13dkp,0.0972417584153078,0.14085217302214448,0.0685268,0.657,0.019,10.8,10.61,10.92,CSPII,none
LSQ13dpm,0.08016009036009564,0.15106733563695302,0.0520617,1.055,-0.013,9.17,9.06,9.6,CSPII,none
LSQ13dqh,0.31726950042924784,0.16536699495336435,0.1035425,1.197,-0.039,11.5,11.5,11.5,CSPII,none
LSQ13dsm,-0.08633223493898612,0.1540769213706828,0.0419767,0.908,-0.024,9.01,8.85,9.14,CSPII,none
LSQ13lq,-0.2488511076036275,0.1470054053455894,0.0765051,1.054,-0.076,8.44,8.0,8.63,CSPII,none
LSQ13pf,-0.13721049925135276,0.22675485016631164,0.0870045,0.917,0.216,10.26,10.14,10.44,CSPII,none
LSQ13ry,0.023858009947772985,0.17361489175204636,0.031032,0.88,-0.05,9.64,9.54,9.7,CSPII,none
LSQ13vy,0.10017760703194512,0.15411536235609846,0.0421068,0.892,0.075,10.17,10.15,10.33,CSPII,none
LSQ14act,0.11379775441167084,0.14528618693513173,0.0594518,0.701,-0.002,10.17,10.07,10.61,CSPII,none
LSQ14age,0.06225678688939951,0.15024986754921327,0.0815802,1.115,-0.019,8.42,8.33,8.59,CSPII,none
LSQ14ahc,0.07138068413658516,0.15693225029510746,0.0517592,1.252,-0.02,9.13,8.89,9.62,CSPII,none
LSQ14ahm,0.03175989109639232,0.15220267124251333,0.0509869,1.161,-0.059,8.2,8.03,8.37,CSPII,none
LSQ14ajn,0.018988072595426786,0.2063424477126394,0.0221584,0.654,0.066,10.11,9.95,10.3,CSPII,none
LSQ14asu,0.274179038547679,0.14438633068505616,0.069594,0.775,0.004,10.67,10.51,10.86,CSPII,none
LSQ14auy,0.1722965787461348,0.15253219895219006,0.0832263,1.136,-0.009,10.74,10.61,11.19,CSPII,none
LSQ14azy,0.13837011157049517,0.21795413227349789,0.0469322,1.136,0.066,9.94,9.75,10.1,CSPII,none
LSQ14ba,-0.04018697606289123,0.1398750971656585,0.0787677,0.959,0.034,9.47,9.3,9.87,CSPII,none
LSQ14bbv,0.03168503342617868,0.14888501150744218,0.058439,1.039,0.008,11.02,10.9,11.14,CSPII,none
LSQ14bjj,-0.07194874119601025,0.1404127993078056,0.0819882,0.996,-0.082,8.46,8.3,8.91,CSPII,none
LSQ14fms,-0.20676298364002577,0.14915956654910612,0.0773231,0.849,0.165,10.11,10.0,10.49,CSPII,none
LSQ14foj,-0.13473350989106336,0.15686277845114438,0.0451705,1.015,0.047,8.44,8.33,8.7,CSPII,none
LSQ14fom,-0.1958724572195365,0.14832252331359677,0.0553279,0.947,0.021,9.54,9.4,9.72,CSPII,none
LSQ14gfb,0.06800801678155466,0.20730353107516397,0.0527873,0.605,0.526,10.3,10.11,10.64,CSPII,none
LSQ14gfn,-0.11636315249702278,0.16583564650608015,0.1210925,0.991,0.037,10.54,10.42,10.88,CSPII,none
LSQ14ghv,0.1584246973278738,0.14338611893994285,0.0662566,0.949,-0.022,10.18,10.06,10.31,CSPII,none
LSQ14gov,0.0882810421757938,0.1391458077651929,0.0892443,1.141,-0.105,9.02,8.85,9.19,CSPII,none
LSQ14ie,0.14838273147611147,0.14209874759521954,0.0905466,1.155,-0.023,8.08,7.95,8.21,CSPII,none
LSQ14ip,0.18097398742879278,0.14444713984428095,0.0624196,0.522,0.345,10.18,10.01,10.31,CSPII,none
LSQ14jp,0.09397804817394473,0.15085448920999614,0.0464896,0.677,0.123,10.54,10.48,10.81,CSPII,none
LSQ14mc,-0.06808841609618099,0.1423425070124136,0.0575661,0.964,-0.029,9.17,9.16,9.43,CSPII,none
LSQ14q,-0.06636880481876517,0.1399073014838403,0.067871,0.958,-0.047,9.32,8.92,9.42,CSPII,none
LSQ14wp,-0.14506540918598176,0.14696763752960426,0.0706148,1.138,-0.05,7.48,7.23,7.59,CSPII,none
LSQ14xi,0.11469575764762396,0.15476557275181138,0.0519014,1.142,0.212,10.9,10.77,11.07,CSPII,none
LSQ15aae,0.1745543476204645,0.1510450924578223,0.0517701,1.226,0.079,10.27,10.1,10.46,CSPII,none
LSQ15agh,-0.03356167720478709,0.14522823915675737,0.0610193,1.14,-0.036,9.87,9.72,9.99,CSPII,none
LSQ15aja,-0.10475485633725157,0.1443911701900936,0.0699657,1.027,-0.092,7.46,7.34,7.58,CSPII,none
LSQ15alq,-0.2585737559458181,0.15104212141790105,0.0480953,0.92,-0.004,10.4,10.22,10.82,CSPII,none
LSQ15bv,-0.10593207255232784,0.14507642766071763,0.0701168,0.955,-0.003,10.56,10.39,10.77,CSPII,none
PS1-14ra,-0.10328330147552833,0.1795123336895033,0.0287982,0.778,0.052,10.65,10.35,10.72,CSPII,none
PS1-14rx,0.10740331768969469,0.1597221928338858,0.0680019,0.848,-0.022,9.89,9.77,10.06,CSPII,none
PS1-14xw,-0.1552139224604332,0.2002701832539667,0.0245957,1.036,0.018,11.24,11.11,11.71,CSPII,none
PS15sv,-0.2169655445692129,0.17914925266384146,0.0335844,1.113,0.013,8.31,8.2,8.56,CSPII,none
PTF11pbp,0.088329887424905,0.1846113405397798,0.0276702,1.157,0.051,10.88,10.73,10.97,CSPII,none
PTF11ppn,-0.40366112133595067,0.2711649918899603,0.0661869,0.66,0.245,11.02,10.96,11.06,CSPII,none
PTF11pra,0.17692786192366583,0.2671843213374156,0.0167242,0.442,0.935,10.68,10.57,10.75,CSPII,none
PTF11qnr,-0.04803977576366236,0.27247605790545837,0.0149985,0.807,0.255,10.65,10.38,10.7,CSPII,none
PTF13anh,0.07164105608285354,0.14392523847683109,0.0624543,0.944,-0.172,7.48,7.29,7.66,CSPII,none
PTF13duj,0.17954642680771826,0.26705971591546895,0.015867,1.158,0.052,10.73,10.61,10.82,CSPII,none
PTF13dwl,-0.1434289648047482,0.17260718343066062,0.0863561,1.114,0.017,8.74,8.42,8.98,CSPII,none
PTF13ebh,-0.07831049992816475,0.3140144313928527,0.012484,0.632,0.117,10.86,10.8,11.02,CSPII,none
