sn,res,eres,zcmb,st,B-V,m,ml,mu,sample,cal
ASAS14ad,0.0645110670650908,0.27998277644099684,0.0274352,1.013,-0.03,8.61,8.23,8.78,CSPII,none
ASAS14hp,-0.3912264801461589,0.25752371026934173,0.0386676,1.077,-0.055,9.09,8.98,9.15,CSPII,none
ASAS14hr,0.46904539952703317,0.26817424979500337,0.0327196,0.803,0.053,10.34,10.18,10.45,CSPII,none
ASAS14hu,0.0998169647238143,0.295533437383985,0.0218919,1.05,-0.052,9.93,9.8,10.24,CSPII,none
ASAS14jc,0.18663952155232266,0.3910047692042333,0.0117796,0.914,0.426,9.46,9.32,9.77,CSPII,none
ASAS14jg,0.2448567325213915,0.44192214345705133,0.014347,1.3,0.068,8.76,8.57,8.88,CSPII,none
ASAS14jz,-0.4193626690288994,0.3280096121762773,0.0156168,0.985,-0.045,8.23,8.11,8.35,CSPII,none
ASAS14kd,-0.20600393563314157,0.2842495905247468,0.0230683,1.174,0.221,10.14,10.03,10.23,CSPII,none
ASAS14kq,0.4490582269033183,0.27341675671723903,0.0325972,1.157,-0.038,8.91,8.78,9.11,CSPII,none
ASAS14lo,0.09443966554734118,0.4015864186826069,0.0210151,0.95,0.116,9.69,9.47,9.79,CSPII,none
ASAS14lp,-1.485370921078605,0.6235795125090081,0.0062254,1.027,0.237,10.74,10.6,10.91,CSPII,none
ASAS14lq,0.1128377639877769,0.4520997707220682,0.0250833,1.005,0.013,10.65,10.46,10.73,CSPII,none
ASAS14lt,-0.06274297265263584,0.26912675573549755,0.0314552,0.947,-0.034,10.64,10.56,10.7,CSPII,none
ASAS14lw,0.0940752149108448,0.3072985853032792,0.0202609,1.156,-0.01,6.35,6.08,6.72,CSPII,none
ASAS14me,-0.18403292267562676,0.31273500702735896,0.017386,1.078,0.001,9.05,8.91,9.15,CSPII,none
ASAS14mf,0.08042855421325612,0.2691802364767257,0.0301521,0.982,-0.022,8.93,8.66,9.03,CSPII,none
ASAS14mw,-0.052064332104215794,0.27022948566318106,0.0271207,1.063,-0.042,10.68,10.59,10.75,CSPII,none
ASAS14my,-0.2783458191920616,0.3072217287202453,0.0217279,0.921,0.007,10.31,10.11,10.74,CSPII,none
ASAS15aj,-0.10763119670934884,0.38383929980148207,0.0120218,0.83,0.095,11.2,11.05,11.35,CSPII,none
ASAS15al,0.043658190135403174,0.39773338904213035,0.0337612,1.079,0.043,8.07,8.03,8.23,CSPII,none
ASAS15as,-0.23222094549774397,0.28536543501096384,0.0297845,1.077,0.018,7.66,7.47,8.01,CSPII,none
ASAS15ba,-0.035021156178302704,0.27934201679665555,0.0239771,0.965,0.0,7.99,7.83,8.19,CSPII,none
ASAS15be,0.1574535555676988,0.29404361042953714,0.0213892,1.14,0.008,7.8,7.66,8.16,CSPII,none
ASAS15bm,-0.17698720121716605,0.2911923587214532,0.0214395,0.989,0.119,10.02,9.89,10.15,CSPII,none
ASAS15cd,-0.06466993705017643,0.2561367798211169,0.0353887,1.001,-0.03,9.95,9.85,10.02,CSPII,none
ASAS15da,0.41884400951878575,0.42414989082798105,0.0488203,0.851,-0.133,10.4,10.23,10.48,CSPII,none
ASAS15db,0.10052474670843026,0.39266603279287027,0.0113676,0.953,0.078,10.11,9.98,10.19,CSPII,none
ASAS15dd,0.0008348423986106468,0.2774110124260708,0.0247417,0.849,-0.017,10.41,10.31,10.52,CSPII,none
ASAS15eb,0.21433001271623908,0.34941698630789314,0.0173082,0.82,-0.136,10.96,10.79,11.4,CSPII,none
ASAS15fr,0.32657440342573807,0.3945774725558102,0.0345082,0.905,-0.147,9.98,9.89,10.06,CSPII,none
ASAS15ga,0.8094259351745947,0.5816666167301944,0.0076517,0.5,0.421,10.38,10.18,10.48,CSPII,none
ASAS15go,0.20751531777841592,0.30731197634634433,0.0192546,1.072,0.214,10.18,10.04,10.27,CSPII,none
ASAS15gr,0.030928843256567973,0.27581035194656317,0.0247678,1.031,-0.046,8.94,8.82,9.02,CSPII,none
ASAS15hf,0.5236838261900232,0.5559331231777948,0.0072452,0.939,0.004,9.56,9.39,9.97,CSPII,none
ASAS15hg,0.16430974741885507,0.38014968314173103,0.0308678,0.824,0.048,10.42,10.3,10.51,CSPII,none
ASAS15hx,-0.6401694888486986,0.4651793216060317,0.0092051,1.034,-0.035,7.45,7.06,7.89,CSPII,none
CSP12J,0.6258823585448212,0.6491005174313836,0.0149235,0.484,0.555,10.09,9.97,10.2,CSPII,none
CSP13abm,0.7907110179500947,0.27228307592560796,0.027529,1.14,-0.018,11.5,11.5,11.5,CSPII,none
CSP14aaq,-0.14175073935146543,0.29261616480284697,0.0361755,0.905,-0.085,11.08,11.01,11.48,CSPII,none
CSP14abn,-0.12963655494904458,0.2974330121511121,0.0232746,1.004,-0.036,9.75,9.59,10.24,CSPII,none
CSP14acl,0.5591230923678836,0.28224760403128013,0.0289327,0.959,-0.081,11.5,11.5,11.5,CSPII,none
CSP14adc,-0.1259018244878476,0.278077296466931,0.031651,0.815,0.219,10.81,10.67,11.14,CSPII,none
CSP15B,0.023882274696880756,0.31492810709498203,0.0208198,0.72,0.132,10.95,10.78,11.42,CSPII,none
CSP15aae,0.23870640892072004,0.3202876759885081,0.0169733,0.505,0.455,11.14,10.96,11.26,CSPII,none
KISS15m,0.45047976784884725,0.3397458843953661,0.0253844,0.429,0.62,9.78,9.67,9.94,CSPII,none
KISS15n,-0.40334364145865464,0.28845107441729245,0.0239783,1.241,0.102,8.0,7.8,8.17,CSPII,none
LSQ11bk,-0.20820418594937706,0.26811779255309814,0.0400251,1.071,-0.079,6.53,6.5,6.59,CSPII,none
LSQ11ot,0.5427214584977378,0.2678213393002815,0.0273222,0.982,0.318,10.17,10.0,10.22,CSPII,none
LSQ11pn,-0.33219569128288384,0.2710607023881015,0.0326611,0.507,0.285,10.7,10.52,10.8,CSPII,none
LSQ12ca,0.6035255998428113,0.5108111536174791,0.0995466,1.195,-0.084,10.44,10.34,10.64,CSPII,none
LSQ12fxd,0.10592347487661158,0.2633787707383581,0.0313344,1.161,-0.008,10.28,10.16,10.4,CSPII,none
LSQ13aiz,-0.8920966613155912,0.4226803124178873,0.0102493,0.964,0.08,8.24,8.12,8.34,CSPII,none
LSQ13dsm,-0.04585850306951045,0.2510530485242986,0.0419767,0.908,-0.024,9.01,8.85,9.14,CSPII,none
LSQ13ry,-0.2611646421827629,0.2638205039514303,0.031032,0.88,-0.05,9.64,9.54,9.7,CSPII,none
LSQ13vy,0.35694653890142547,0.24994934481368644,0.0421068,0.892,0.075,10.17,10.15,10.33,CSPII,none
LSQ14ajn,0.20942581646490765,0.28909182032256253,0.0221584,0.654,0.066,10.11,9.95,10.3,CSPII,none
LSQ14wp,-0.32140569731650714,0.25392974626649295,0.0706148,1.138,-0.05,7.48,7.23,7.59,CSPII,none
LSQ15aae,0.5729482514899402,0.25612600890470805,0.0517701,1.226,0.079,10.27,10.1,10.46,CSPII,none
PS1-14ra,0.009107850393938577,0.27147257508632266,0.0287982,0.778,0.052,10.65,10.35,10.72,CSPII,none
PS1-14xw,-0.05300119859096952,0.30272103384490306,0.0245957,1.036,0.018,11.24,11.11,11.71,CSPII,none
PS15sv,-0.33925535769974857,0.27941069324365714,0.0335844,1.113,0.013,8.31,8.2,8.56,CSPII,none
PTF11pbp,0.386122354294379,0.2723036699277817,0.0276702,1.157,0.051,10.88,10.73,10.97,CSPII,none
