sn	mmax_snoopy	mmax_corrected	err_mmax	host	Source
ASAS14ad	16.233	16.221	0.036		CSPII
ASAS14hp	16.498	16.274	0.031		CSPII
ASAS14hr	17.082	17.465	0.033		CSPII
ASAS14hu	15.386	15.188	0.031		CSPII
ASAS14jc	15.682	17.12	0.031		CSPII
ASAS14jg	14.781	14.504	0.094		CSPII
ASAS14jz	14.622	14.552	0.031		CSPII
ASAS14kd	16.244	16.71	0.032		CSPII
ASAS14kq	16.591	16.345	0.035		CSPII
ASAS14lo	16.003	16.457	0.087		CSPII
ASAS14lp	12.157	12.847	0.03		CSPII
ASAS14lq	16.033	16.088	0.13		CSPII
ASAS14lt	16.335	16.294	0.034		CSPII
ASAS14lw	15.59	15.243	0.032		CSPII
ASAS14me	15.081	15.022	0.03		CSPII
ASAS14mf	16.499	16.509	0.032		CSPII
ASAS14mw	15.845	15.65	0.03		CSPII
ASAS14my	15.568	15.702	0.031		CSPII
ASAS15aj	14.68	15.15	0.032		CSPII
ASAS15al	16.896	17.003	0.093		CSPII
ASAS15as	16.208	16.246	0.033		CSPII
ASAS15ba	15.983	16.093	0.03		CSPII
ASAS15be	15.63	15.548	0.031		CSPII
ASAS15bm	15.752	16.153	0.031		CSPII
ASAS15cb	17.06	17.268	0.171		CSPII
ASAS15cd	16.672	16.611	0.031		CSPII
ASAS15da	17.547	17.302	0.121		CSPII
ASAS15db	14.688	15.006	0.03		CSPII
ASAS15dd	16.058	16.195	0.031		CSPII
ASAS15eb	15.21	14.99	0.038		CSPII
ASAS15fr	16.683	16.394	0.097		CSPII
ASAS15ga	15.499	17.121	0.071		CSPII
ASAS15go	16.071	16.657	0.032		CSPII
ASAS15gr	15.831	15.704	0.031		CSPII
ASAS15hf	14.005	14.114	0.031		CSPII
ASAS15hg	16.891	17.264	0.086		CSPII
ASAS15hx	13.149	13.064	0.03		CSPII
CSP12G	17.214	17.37	0.13		CSPII
CSP12J	16.375	18.378	0.253		CSPII
CSP12N	18.59	18.23	0.032		CSPII
CSP13N	16.969	16.765	0.109		CSPII
CSP13Q	18.917	19.004	0.636		CSPII
CSP13V	17.474	16.954	0.327		CSPII
CSP13Z	18.169	17.856	0.035		CSPII
CSP13aad	18.683	18.474	0.122		CSPII
CSP13aaf	18.272	17.902	0.036		CSPII
CSP13aam	17.801	17.163	0.039		CSPII
CSP13aao	18.164	18.816	0.158		CSPII
CSP13aaq	17.986	17.815	0.032		CSPII
CSP13aay	18.236	18.131	0.034		CSPII
CSP13abl	21.234	24.7	0.121		CSPII
CSP13abm	16.352	16.128	0.033		CSPII
CSP13abs	18.22	17.8	0.038		CSPII
CSP14aaq	16.643	16.469	0.037		CSPII
CSP14aar	17.075	17.058	0.037		CSPII
CSP14abn	15.614	15.537	0.03		CSPII
CSP14acl	16.57	16.379	0.034		CSPII
CSP14acy	17.837	18.29	0.036		CSPII
CSP14adc	17.164	18.049	0.033		CSPII
CSP14ade	17.706	17.459	0.035		CSPII
CSP15B	16.113	16.779	0.032		CSPII
CSP15aae	16.762	18.438	0.031		CSPII
KISS13j	18.865	19.392	0.043		CSPII
KISS13l	19.506	19.305	0.424		CSPII
KISS13v	19.282	19.562	0.037		CSPII
KISS15m	18.292	20.499	0.044		CSPII
KISS15n	15.515	15.511	0.033		CSPII
LSQ11bk	16.875	16.619	0.034		CSPII
LSQ11ot	17.877	18.871	0.03		CSPII
LSQ11pn	17.481	18.66	0.034		CSPII
LSQ12agq	18.444	18.515	0.126		CSPII
LSQ12aor	19.355	19.244	0.042		CSPII
