sn	mmax_snoopy	mmax_corrected	err_mmax	host	Source
ASAS14ad	16.233	16.194	0.033	N/A	CSPII
ASAS14hp	16.498	16.282	0.031	N/A	CSPII
ASAS14hr	17.082	17.431	0.032	N/A	CSPII
ASAS14hu	15.386	15.203	0.031	N/A	CSPII
ASAS14jc	15.682	17.05	0.031	N/A	CSPII
ASAS14jg	14.781	14.615	0.072	N/A	CSPII
ASAS14jz	14.622	14.516	0.03	N/A	CSPII
ASAS14kd	16.244	16.759	0.031	N/A	CSPII
ASAS14kq	16.591	16.38	0.032	N/A	CSPII
ASAS14lo	16.003	16.424	0.073	N/A	CSPII
ASAS14lp	12.157	12.845	0.03	N/A	CSPII
ASAS14lq	16.033	16.092	0.103	N/A	CSPII
ASAS14lt	16.335	16.289	0.033	N/A	CSPII
ASAS14lw	15.59	15.292	0.031	N/A	CSPII
ASAS14me	15.081	15.027	0.03	N/A	CSPII
ASAS14mf	16.499	16.481	0.031	N/A	CSPII
ASAS14mw	15.845	15.682	0.03	N/A	CSPII
ASAS14my	15.568	15.683	0.031	N/A	CSPII
ASAS15aj	14.68	15.129	0.031	N/A	CSPII
ASAS15al	16.896	16.986	0.073	N/A	CSPII
ASAS15as	16.208	16.223	0.031	N/A	CSPII
ASAS15ba	15.983	16.042	0.03	N/A	CSPII
ASAS15be	15.63	15.554	0.031	N/A	CSPII
ASAS15bm	15.752	16.136	0.031	N/A	CSPII
ASAS15cb	17.06	17.29	0.114	N/A	CSPII
ASAS15cd	16.672	16.608	0.031	N/A	CSPII
ASAS15da	17.547	17.287	0.098	N/A	CSPII
ASAS15db	14.688	14.984	0.03	N/A	CSPII
ASAS15dd	16.058	16.17	0.031	N/A	CSPII
ASAS15eb	15.21	14.983	0.034	N/A	CSPII
ASAS15fr	16.683	16.377	0.08	N/A	CSPII
ASAS15ga	15.499	17.122	0.056	N/A	CSPII
ASAS15go	16.071	16.662	0.031	N/A	CSPII
ASAS15gr	15.831	15.693	0.031	N/A	CSPII
ASAS15hf	14.005	14.086	0.031	N/A	CSPII
ASAS15hg	16.891	17.232	0.073	N/A	CSPII
ASAS15hx	13.149	13.028	0.03	N/A	CSPII
CSP12G	17.214	17.392	0.096	N/A	CSPII
CSP12J	16.375	18.369	0.221	N/A	CSPII
CSP12N	18.59	18.207	0.031	N/A	CSPII
CSP13N	16.969	16.816	0.083	N/A	CSPII
CSP13Q	18.917	18.978	0.267	N/A	CSPII
CSP13V	17.474	17.004	0.299	N/A	CSPII
CSP13Z	18.169	17.905	0.032	N/A	CSPII
CSP13aad	18.683	18.543	0.09	N/A	CSPII
CSP13aaf	18.272	17.967	0.032	N/A	CSPII
CSP13aam	17.801	17.207	0.033	N/A	CSPII
CSP13aao	18.164	18.776	0.123	N/A	CSPII
CSP13aaq	17.986	17.836	0.031	N/A	CSPII
CSP13aay	18.236	18.205	0.032	N/A	CSPII
CSP13abl	21.234	24.56	0.083	N/A	CSPII
CSP13abm	16.352	16.2	0.031	N/A	CSPII
CSP13abs	18.22	17.827	0.033	N/A	CSPII
CSP14aaq	16.643	16.468	0.035	N/A	CSPII
CSP14aar	17.075	17.033	0.032	N/A	CSPII
CSP14abn	15.614	15.532	0.03	N/A	CSPII
CSP14acl	16.57	16.396	0.033	N/A	CSPII
CSP14acy	17.837	18.233	0.034	N/A	CSPII
CSP14adc	17.164	18.01	0.032	N/A	CSPII
CSP14ade	17.706	17.564	0.032	N/A	CSPII
CSP15B	16.113	16.753	0.031	N/A	CSPII
CSP15aae	16.762	18.447	0.031	N/A	CSPII
KISS13j	18.865	19.35	0.037	N/A	CSPII
KISS13l	19.506	19.31	0.216	N/A	CSPII
KISS13v	19.282	19.572	0.034	N/A	CSPII
KISS15m	18.292	20.508	0.042	N/A	CSPII
KISS15n	15.515	15.565	0.031	N/A	CSPII
LSQ11bk	16.875	16.582	0.032	N/A	CSPII
LSQ11ot	17.877	18.838	0.03	N/A	CSPII
LSQ11pn	17.481	18.675	0.033	N/A	CSPII
LSQ12agq	18.444	18.552	0.094	N/A	CSPII
LSQ12aor	19.355	19.223	0.038	N/A	CSPII
LSQ12bld	19.018	19.341	0.032	N/A	CSPII
LSQ12btn	18.234	18.676	0.032	N/A	CSPII
LSQ12ca	19.045	18.946	0.094	N/A	CSPII
LSQ12cda	20.149	20.443	0.285	N/A	CSPII
LSQ12cdl	19.134	18.727	0.096	N/A	CSPII
LSQ12fuk	15.674	15.65	0.032	N/A	CSPII
LSQ12fvl	18.75	19.777	0.033	N/A	CSPII
LSQ12fxd	16.286	16.102	0.03	N/A	CSPII
LSQ12gdj	15.852	15.592	0.031	N/A	CSPII
LSQ12gef	18.896	19.503	0.084	N/A	CSPII
LSQ12gln	18.97	18.668	0.031	N/A	CSPII
LSQ12gxj	18.071	18.76	0.031	N/A	CSPII
LSQ12gyc	18.758	18.467	0.035	N/A	CSPII
LSQ12gzm	19.506	19.445	0.035	N/A	CSPII
LSQ12hjm	18.293	18.128	0.03	N/A	CSPII
LSQ12hno	17.92	18.08	0.032	N/A	CSPII
LSQ12hnr	19.413	19.34	0.121	N/A	CSPII
LSQ12hvj	18.41	18.478	0.032	N/A	CSPII
LSQ12hxx	18.236	18.266	0.036	N/A	CSPII
LSQ12hzj	16.51	16.337	0.03	N/A	CSPII
LSQ12hzs	18.796	19.072	0.032	N/A	CSPII
LSQ13abo	18.812	19.53	0.039	N/A	CSPII
LSQ13aiz	13.71	13.984	0.031	N/A	CSPII
LSQ13cwp	18.399	18.71	0.036	N/A	CSPII
LSQ13dby	19.109	18.846	0.032	N/A	CSPII
LSQ13dcy	19.173	19.573	0.036	N/A	CSPII
LSQ13dhj	19.06	19.067	0.035	N/A	CSPII
LSQ13dkp	18.761	19.063	0.032	N/A	CSPII
LSQ13dpm	17.684	17.604	0.03	N/A	CSPII
LSQ13dqh	19.323	19.029	0.035	N/A	CSPII
LSQ13dsm	17.265	17.303	0.031	N/A	CSPII
LSQ13lq	18.007	17.733	0.033	N/A	CSPII
LSQ13pf	19.667	20.432	0.096	N/A	CSPII
LSQ13ry	16.541	16.507	0.031	N/A	CSPII
LSQ13vy	17.65	17.972	0.031	N/A	CSPII
LSQ14act	18.371	18.626	0.031	N/A	CSPII
LSQ14age	18.481	18.342	0.032	N/A	CSPII
LSQ14ahc	17.275	16.955	0.031	N/A	CSPII
LSQ14ahm	17.213	16.905	0.031	N/A	CSPII
LSQ14ajn	16.3	16.791	0.031	N/A	CSPII
LSQ14asu	18.887	19.093	0.032	N/A	CSPII
LSQ14auy	18.659	18.471	0.033	N/A	CSPII
LSQ14azy	17.685	17.764	0.083	N/A	CSPII
LSQ14ba	18.793	18.937	0.032	N/A	CSPII
LSQ14bbv	17.747	17.731	0.031	N/A	CSPII
LSQ14bjj	18.475	18.248	0.031	N/A	CSPII
LSQ14fms	19.013	19.651	0.033	N/A	CSPII
LSQ14foj	17.342	17.482	0.031	N/A	CSPII
LSQ14fom	17.794	17.913	0.031	N/A	CSPII
LSQ14gfb	19.555	21.426	0.077	N/A	CSPII
LSQ14gfn	19.366	19.443	0.08	N/A	CSPII
LSQ14ghv	18.382	18.365	0.032	N/A	CSPII
LSQ14gov	18.453	18.098	0.031	N/A	CSPII
LSQ14ie	18.748	18.555	0.032	N/A	CSPII
LSQ14ip	19.478	20.821	0.036	N/A	CSPII
LSQ14jp	18.134	18.753	0.031	N/A	CSPII
LSQ14mc	17.818	17.775	0.03	N/A	CSPII
LSQ14q	18.177	18.083	0.031	N/A	CSPII
LSQ14wp	17.88	17.639	0.032	N/A	CSPII
LSQ14xi	18.257	18.753	0.032	N/A	CSPII
LSQ15aae	17.843	17.838	0.031	N/A	CSPII
LSQ15agh	17.734	17.503	0.031	N/A	CSPII
LSQ15aja	18.036	17.754	0.031	N/A	CSPII
LSQ15alq	17.319	17.385	0.03	N/A	CSPII
LSQ15bv	18.186	18.227	0.032	N/A	CSPII
PS1-14ra	16.627	16.991	0.031	N/A	CSPII
PS1-14rx	18.545	18.616	0.038	N/A	CSPII
PS1-14xw	15.801	15.838	0.031	N/A	CSPII
PS15sv	16.426	16.469	0.031	N/A	CSPII
PTF11pbp	16.354	16.36	0.031	N/A	CSPII
PTF11ppn	18.683	19.516	0.399	N/A	CSPII
PTF11pra	18.085	21.173	0.071	N/A	CSPII
PTF11qnr	15.762	16.68	0.031	N/A	CSPII
PTF13anh	17.931	17.487	0.033	N/A	CSPII
PTF13duj	15.054	15.06	0.032	N/A	CSPII
PTF13dwl	18.464	18.279	0.038	N/A	CSPII
PTF13ebh	15.043	15.684	0.031	N/A	CSPII
PTF13efe	18.212	18.01	0.032	N/A	CSPII
PTF13ez	17.373	17.936	0.04	N/A	CSPII
PTF14aaf	18.041	18.019	0.031	N/A	CSPII
PTF14aje	18.531	20.574	0.031	N/A	CSPII
PTF14fpg	16.76	16.709	0.031	N/A	CSPII
PTF14gnl	17.429	17.247	0.031	N/A	CSPII
PTF14uo	18.712	18.258	0.032	N/A	CSPII
PTF14w	16.086	16.466	0.03	N/A	CSPII
PTF14yy	18.482	19.381	0.032	N/A	CSPII
SN1981B	11.979	12.234	0.034	N4536	N/A
SN1990N	12.714	12.808	0.036	N4639	N/A
SN1994ae	13.142	13.278	0.033	N3370	N/A
SN1995al	13.343	13.709	0.041	N3021	N/A
SN1998aq	12.357	12.081	0.036	N3982	N/A
SN2001el	12.822	13.285	0.035	N1448	N/A
SN2002fk	13.202	12.956	0.034	N1309	N/A
SN2003du	13.478	13.264	0.034	U9391	N/A
SN2004ef	16.871	17.355	0.03	N/A	CSPI
SN2004eo	15.126	15.314	0.031	N/A	CSPI
SN2004ey	14.777	14.618	0.03	N/A	CSPI
SN2004gs	17.182	18.014	0.03	N/A	CSPI
SN2004gu	17.428	17.703	0.033	N/A	CSPI
SN2005A	18.116	21.052	0.033	N/A	CSPI
