sn	mmax_snoopy	mmax_corrected	err_mmax	host	Source
ASAS14ad	17.192	17.181	0.026		CSPII
ASAS14hp	17.663	17.44	0.019		CSPII
ASAS14hr	17.402	17.786	0.022		CSPII
ASAS14hu	16.473	16.277	0.018		CSPII
ASAS14jc	14.95	16.389	0.02		CSPII
ASAS14jg	15.566	15.29	0.061		CSPII
ASAS14jz	15.348	15.28	0.019		CSPII
ASAS14kd	16.327	16.794	0.024		CSPII
ASAS14lp	12.356	13.047	0.018		CSPII
ASAS14lq	16.943	16.999	0.092		CSPII
ASAS14lt	17.117	17.077	0.021		CSPII
ASAS14lw	16.582	16.236	0.021		CSPII
ASAS14me	15.992	15.934	0.019		CSPII
ASAS14mw	16.906	16.713	0.018		CSPII
ASAS14my	16.281	16.416	0.018		CSPII
ASAS15aj	14.861	15.332	0.019		CSPII
ASAS15al	17.642	17.751	0.064		CSPII
ASAS15as	17.209	17.249	0.021		CSPII
ASAS15ba	16.78	16.891	0.019		CSPII
ASAS15be	16.569	16.488	0.019		CSPII
ASAS15bm	16.33	16.733	0.019		CSPII
ASAS15cb	17.392	17.601	0.132		CSPII
ASAS15cd	17.56	17.501	0.018		CSPII
ASAS15db	14.96	15.279	0.018		CSPII
ASAS15dd	16.243	16.381	0.02		CSPII
ASAS15fr	17.509	17.221	0.064		CSPII
ASAS15ga	14.684	16.307	0.082		CSPII
ASAS15go	16.239	16.826	0.02		CSPII
ASAS15gr	16.612	16.486	0.02		CSPII
ASAS15hf	14.426	14.536	0.021		CSPII
ASAS15hx	14.084	14.0	0.018		CSPII
CSP12G	17.732	17.889	0.088		CSPII
CSP13N	17.954	17.752	0.072		CSPII
CSP13abl	17.951	21.419	0.08		CSPII
CSP14aar	17.876	17.86	0.029		CSPII
CSP14abn	16.428	16.352	0.018		CSPII
CSP14adc	17.463	18.349	0.02		CSPII
CSP15aae	16.368	18.045	0.02		CSPII
KISS15m	17.584	19.792	0.028		CSPII
KISS15n	16.184	16.181	0.022		CSPII
LSQ11bk	17.958	17.703	0.022		CSPII
LSQ11ot	17.305	18.3	0.018		CSPII
LSQ11pn	17.29	18.47	0.021		CSPII
LSQ12bld	19.325	19.674	0.027		CSPII
LSQ12btn	18.511	18.981	0.023		CSPII
LSQ12fuk	16.381	16.392	0.02		CSPII
LSQ12fvl	18.913	19.955	0.023		CSPII
LSQ12fxd	16.996	16.748	0.018		CSPII
LSQ12gdj	16.92	16.62	0.02		CSPII
LSQ12hno	18.123	18.338	0.021		CSPII
LSQ12hvj	18.925	18.953	0.025		CSPII
LSQ12hxx	19.094	19.046	0.034		CSPII
LSQ12hzj	17.489	17.337	0.019		CSPII
LSQ12hzs	19.071	19.355	0.023		CSPII
LSQ13cwp	19.127	19.456	0.036		CSPII
LSQ13dpm	18.317	18.239	0.018		CSPII
LSQ13dsm	17.729	17.811	0.02		CSPII
LSQ13lq	19.095	18.826	0.03		CSPII
LSQ13pf	20.035	20.84	0.118		CSPII
LSQ13ry	17.398	17.398	0.02		CSPII
LSQ13vy	17.953	18.309	0.031		CSPII
LSQ14ahc	18.1	17.698	0.021		CSPII
LSQ14ahm	18.138	17.802	0.022		CSPII
LSQ14ba	19.433	19.607	0.029		CSPII
LSQ14foj	18.14	18.315	0.022		CSPII
LSQ14fom	18.342	18.491	0.021		CSPII
LSQ14gfb	18.939	20.853	0.07		CSPII
LSQ14gfn	19.991	20.044	0.195		CSPII
LSQ14ghv	19.018	19.012	0.023		CSPII
LSQ14gov	19.821	19.464	0.036		CSPII
LSQ14ip	19.377	20.722	0.082		CSPII
LSQ14jp	18.246	18.891	0.022		CSPII
LSQ14wp	18.884	18.64	0.025		CSPII
LSQ14xi	18.338	18.785	0.025		CSPII
LSQ15alq	18.079	18.163	0.02		CSPII
LSQ15bv	19.023	19.073	0.036		CSPII
PS1-14ra	17.045	17.438	0.018		CSPII
PS1-14xw	16.553	16.563	0.019		CSPII
PS15sv	17.463	17.546	0.024		CSPII
PTF11pbp	16.96	16.901	0.019		CSPII
PTF11pra	16.467	19.562	0.053		CSPII
PTF11qnr	15.682	16.645	0.019		CSPII
PTF13duj	15.884	15.824	0.026		CSPII
PTF13ebh	15.22	15.875	0.018		CSPII
PTF13efe	19.296	19.014	0.025		CSPII
PTF14aje	17.133	19.239	0.018		CSPII
PTF14gnl	18.285	18.097	0.02		CSPII
PTF14w	16.422	16.857	0.017		CSPII
PTF14yy	17.969	18.935	0.023		CSPII
SN1981B	12.512	12.785	0.009	N4536	N/A
SN2001el	12.903	13.389	0.003	N1448	N/A
SN2002fk	14.048	13.809	0.005	N1309	N/A
SN2003du	14.48	14.291	0.006	U9391	N/A
SN2004ef	17.215	17.73	0.02		CSPI
SN2004eo	15.709	15.911	0.018		CSPI
SN2004ey	15.78	15.62	0.017		CSPI
SN2004gs	17.291	18.159	0.019		CSPI
SN2004gu	18.331	18.563	0.027		CSPI
SN2005A	16.278	19.287	0.023		CSPI
SN2005M	16.68	16.459	0.017		CSPI
SN2005al	15.711	15.7	0.019		CSPI
SN2005am	14.176	14.617	0.018		CSPI
SN2005cf	13.91	13.973	0.016	N5917	N/A
SN2005el	15.677	15.592	0.018		CSPI
SN2005eq	17.069	16.811	0.019		CSPI
SN2005hc	18.01	17.839	0.021		CSPI
SN2005iq	17.503	17.535	0.02		CSPI
SN2005kc	15.594	16.38	0.019		CSPI
