sn	mmax_snoopy	mmax_corrected	err_mmax	host	Source
ASAS14ad	16.233	16.221	0.039	N/A	CSPII
ASAS14hp	16.498	16.275	0.034	N/A	CSPII
ASAS14hr	17.082	17.466	0.036	N/A	CSPII
ASAS14hu	15.386	15.189	0.033	N/A	CSPII
ASAS14jc	15.682	17.12	0.034	N/A	CSPII
ASAS14jg	14.781	14.504	0.097	N/A	CSPII
ASAS14jz	14.622	14.553	0.033	N/A	CSPII
ASAS14kd	16.244	16.71	0.034	N/A	CSPII
ASAS14kq	16.591	16.345	0.038	N/A	CSPII
ASAS14lo	16.003	16.457	0.09	N/A	CSPII
ASAS14lp	12.157	12.847	0.033	N/A	CSPII
ASAS14lq	16.033	16.088	0.132	N/A	CSPII
ASAS14lt	16.335	16.295	0.037	N/A	CSPII
ASAS14lw	15.59	15.243	0.034	N/A	CSPII
ASAS14me	15.081	15.022	0.033	N/A	CSPII
ASAS14mf	16.499	16.51	0.034	N/A	CSPII
ASAS14mw	15.845	15.651	0.033	N/A	CSPII
ASAS14my	15.568	15.702	0.034	N/A	CSPII
ASAS15aj	14.68	15.15	0.034	N/A	CSPII
ASAS15al	16.896	17.004	0.096	N/A	CSPII
ASAS15as	16.208	16.247	0.036	N/A	CSPII
ASAS15ba	15.983	16.094	0.033	N/A	CSPII
ASAS15be	15.63	15.548	0.034	N/A	CSPII
ASAS15bm	15.752	16.154	0.034	N/A	CSPII
ASAS15cb	17.06	17.268	0.173	N/A	CSPII
ASAS15cd	16.672	16.612	0.034	N/A	CSPII
ASAS15da	17.547	17.302	0.123	N/A	CSPII
ASAS15db	14.688	15.006	0.033	N/A	CSPII
ASAS15dd	16.058	16.195	0.034	N/A	CSPII
ASAS15eb	15.21	14.99	0.04	N/A	CSPII
ASAS15fr	16.683	16.394	0.099	N/A	CSPII
ASAS15ga	15.499	17.121	0.074	N/A	CSPII
ASAS15go	16.071	16.657	0.034	N/A	CSPII
ASAS15gr	15.831	15.704	0.033	N/A	CSPII
ASAS15hf	14.005	14.115	0.034	N/A	CSPII
ASAS15hg	16.891	17.265	0.089	N/A	CSPII
ASAS15hx	13.149	13.065	0.033	N/A	CSPII
CSP12G	17.214	17.371	0.133	N/A	CSPII
CSP12J	16.375	18.379	0.255	N/A	CSPII
CSP12N	18.59	18.231	0.034	N/A	CSPII
CSP13N	16.969	16.766	0.112	N/A	CSPII
CSP13Q	18.917	19.005	0.639	N/A	CSPII
CSP13V	17.474	16.954	0.33	N/A	CSPII
CSP13Z	18.169	17.857	0.038	N/A	CSPII
CSP13aad	18.683	18.475	0.124	N/A	CSPII
CSP13aaf	18.272	17.903	0.038	N/A	CSPII
CSP13aam	17.801	17.164	0.041	N/A	CSPII
CSP13aao	18.164	18.817	0.161	N/A	CSPII
CSP13aaq	17.986	17.815	0.035	N/A	CSPII
CSP13aay	18.236	18.131	0.037	N/A	CSPII
CSP13abl	21.234	24.701	0.123	N/A	CSPII
CSP13abm	16.352	16.128	0.035	N/A	CSPII
CSP13abs	18.22	17.801	0.04	N/A	CSPII
CSP14aaq	16.643	16.47	0.04	N/A	CSPII
CSP14aar	17.075	17.058	0.039	N/A	CSPII
CSP14abn	15.614	15.538	0.033	N/A	CSPII
CSP14acl	16.57	16.379	0.036	N/A	CSPII
CSP14acy	17.837	18.29	0.038	N/A	CSPII
CSP14adc	17.164	18.049	0.035	N/A	CSPII
CSP14ade	17.706	17.46	0.038	N/A	CSPII
CSP15B	16.113	16.779	0.034	N/A	CSPII
CSP15aae	16.762	18.438	0.034	N/A	CSPII
