sn	mu_obs	err_mu_obs	zcmb	mass_best	mass_low	mass_hhigh	sample
ASAS14ad	35.252	0.198	0.0274	8.61	8.23	8.78	CSPII
ASAS14hp	35.721	0.171	0.0387	9.09	8.98	9.15	CSPII
ASAS14hr	35.771	0.183	0.0327	10.34	10.18	10.45	CSPII
ASAS14hu	34.584	0.215	0.0219	9.93	9.8	10.24	CSPII
ASAS14jc	33.39	0.332	0.0118	9.46	9.32	9.77	CSPII
ASAS14jg	33.969	0.327	0.0143	8.76	8.57	8.88	CSPII
ASAS14jz	33.746	0.267	0.0156	8.23	8.11	8.35	CSPII
ASAS14kd	34.753	0.211	0.0231	10.14	10.03	10.23	CSPII
ASAS14kq	35.82	0.186	0.0326	8.91	8.78	9.11	CSPII
ASAS14lo	34.595	0.271	0.021	9.69	9.47	9.79	CSPII
ASAS14lp	30.471	0.583	0.0062	10.74	10.6	10.91	CSPII
ASAS14lq	34.985	0.289	0.0251	10.65	10.46	10.73	CSPII
ASAS14lt	35.381	0.187	0.0315	10.64	10.56	10.7	CSPII
ASAS14lw	34.903	0.227	0.0203	6.35	6.08	6.72	CSPII
ASAS14me	34.162	0.248	0.0174	9.05	8.91	9.15	CSPII
ASAS14mf	35.509	0.186	0.0302	8.93	8.66	9.03	CSPII
ASAS14mw	35.018	0.193	0.0271	10.68	10.59	10.75	CSPII
ASAS14my	34.474	0.217	0.0217	10.31	10.11	10.74	CSPII
ASAS15aj	33.233	0.327	0.012	11.2	11.05	11.35	CSPII
ASAS15al	35.817	0.241	0.0338	8.07	8.03	8.23	CSPII
ASAS15as	35.199	0.189	0.0298	7.66	7.47	8.01	CSPII
ASAS15ba	34.933	0.205	0.024	7.99	7.83	8.19	CSPII
ASAS15be	34.731	0.219	0.0214	7.8	7.66	8.16	CSPII
ASAS15bm	34.4	0.219	0.0214	10.02	9.89	10.15	CSPII
ASAS15cd	35.721	0.176	0.0354	9.95	9.85	10.02	CSPII
ASAS15da	36.82	0.258	0.0488	10.4	10.23	10.48	CSPII
ASAS15db	33.398	0.341	0.0114	10.11	9.98	10.19	CSPII
ASAS15dd	34.958	0.203	0.0247	10.41	10.31	10.52	CSPII
ASAS15eb	34.435	0.256	0.0173	10.96	10.79	11.4	CSPII
ASAS15fr	35.974	0.246	0.0345	9.98	9.89	10.06	CSPII
ASAS15ga	32.966	0.505	0.0077	10.38	10.18	10.48	CSPII
ASAS15go	34.501	0.234	0.0193	10.18	10.04	10.27	CSPII
ASAS15gr	34.981	0.202	0.0248	8.94	8.82	9.02	CSPII
ASAS15hf	32.92	0.507	0.0072	9.56	9.39	9.97	CSPII
ASAS15hg	35.568	0.243	0.0309	10.42	10.3	10.51	CSPII
ASAS15hx	32.277	0.408	0.0092	7.45	7.06	7.89	CSPII
CSP12J	33.45	0.432	0.0149	10.09	9.97	10.2	CSPII
CSP12N	37.968	0.149	0.0983	7.51	7.32	7.66	CSPII
CSP13aad	37.812	0.245	0.0866	9.65	9.59	9.8	CSPII
CSP13abm	35.519	0.195	0.0275	11.5	11.5	11.5	CSPII
CSP14aaq	35.821	0.183	0.0362	11.08	11.01	11.48	CSPII
CSP14abn	34.702	0.208	0.0233	9.75	9.59	10.24	CSPII
CSP14acl	35.725	0.192	0.0289	11.5	11.5	11.5	CSPII
CSP14adc	35.36	0.184	0.0317	10.81	10.67	11.14	CSPII
CSP15B	34.524	0.223	0.0208	10.95	10.78	11.42	CSPII
CSP15aae	34.141	0.085	0.017	11.14	11.06	11.22	N/A
KISS15m	35.157	0.215	0.0254	9.78	9.67	9.94	CSPII
KISS15n	34.495	0.208	0.024	8.0	7.8	8.17	CSPII
LSQ11bk	36.177	0.173	0.04	6.53	6.5	6.59	CSPII
LSQ11ot	35.929	0.193	0.0273	10.17	10.0	10.22	CSPII
LSQ11pn	35.324	0.185	0.0327	10.7	10.52	10.8	CSPII
LSQ12agq	37.332	0.253	0.0654	9.3	9.29	9.43	CSPII
LSQ12aor	38.532	0.164	0.0946	9.85	9.67	10.15	CSPII
LSQ12bld	37.696	0.153	0.0843	10.55	10.42	10.64	CSPII
LSQ12btn	36.77	0.16	0.0553	10.9	10.84	10.94	CSPII
LSQ12ca	38.169	0.246	0.0995	10.44	10.34	10.64	CSPII
LSQ12cda	38.908	0.463	0.1384	9.82	9.69	9.98	CSPII
LSQ12cdl	38.533	0.247	0.109	8.81	8.79	8.93	CSPII
LSQ13aiz	32.451	0.373	0.0102	8.24	8.12	8.34	CSPII
LSQ13dsm	36.248	0.166	0.042	9.01	8.85	9.14	CSPII
LSQ13ry	35.569	0.185	0.031	9.64	9.54	9.7	CSPII
LSQ13vy	36.28	0.166	0.0421	10.17	10.15	10.33	CSPII
LSQ14ajn	34.826	0.215	0.0222	10.11	9.95	10.3	CSPII
LSQ14gov	37.827	0.151	0.0892	9.02	8.85	9.19	CSPII
LSQ14wp	37.139	0.158	0.0706	7.48	7.23	7.59	CSPII
LSQ15aae	36.859	0.16	0.0518	10.27	10.1	10.46	CSPII
PS1-14ra	35.282	0.188	0.0288	10.65	10.35	10.72	CSPII
PS1-14xw	34.786	0.203	0.0246	11.24	11.11	11.71	CSPII
PS15sv	35.39	0.179	0.0336	8.31	8.2	8.56	CSPII
PTF11pbp	35.347	0.193	0.0277	10.88	10.73	10.97	CSPII
PTF11ppn	36.885	0.49	0.0662	11.02	10.96	11.06	CSPII
PTF11pra	34.052	0.297	0.0167	10.68	10.57	10.75	CSPII
PTF11qnr	33.822	0.276	0.015	10.65	10.38	10.7	CSPII
PTF13duj	34.094	0.269	0.0159	10.73	10.61	10.82	CSPII
PTF13dwl	37.665	0.184	0.0864	8.74	8.42	8.98	CSPII
PTF13ebh	33.452	0.085	0.0125	10.86	10.809999999999999	10.91	N/A
PTF14aje	35.513	0.191	0.0282	10.78	10.64	10.84	CSPII
PTF14fpg	35.808	0.181	0.0328	11.5	11.5	11.5	CSPII
PTF14w	34.731	0.226	0.0201	9.14	8.96	9.3	CSPII
SN2004ef	35.401	0.186	0.0298	10.74	10.63	10.8	CSPI
SN2004eo	33.917	0.279	0.0147	11.16	11.03	11.35	CSPI
SN2004ey	33.925	0.28	0.0146	10.06	9.76	10.41	CSPI
SN2004gs	35.364	0.19	0.0283	10.63	10.57	10.7	CSPI
SN2004gu	36.165	0.171	0.0469	10.02	9.74	10.19	CSPI
SN2005A	34.225	0.243	0.0183	11.19	11.07	11.26	CSPI
SN2005M	35.074	0.198	0.0256	8.8	8.38	8.92	CSPI
SN2005W	32.655	0.466	0.008	9.9	9.75	10.0	CSPI
SN2005ag	37.672	0.153	0.0801	10.9	10.84	10.95	CSPI
SN2005al	33.906	0.301	0.0133	10.49	10.4	10.63	CSPI
SN2005am	32.291	0.418	0.009	10.83	10.68	11.26	CSPI
SN2005be	35.618	0.256	0.0356	10.4	10.25	10.5	CSPI
SN2005bg	34.809	0.275	0.0242	9.91	9.72	10.02	CSPI
SN2005bl	35.144	0.218	0.0251	11.01	10.89	11.2	CSPI
SN2005bo	33.835	0.275	0.015	10.5	10.34	10.65	CSPI
SN2005el	33.95	0.277	0.0149	10.84	10.7	11.24	CSPI
SN2005eq	35.44	0.191	0.0284	10.56	10.44	10.65	CSPI
SN2005hc	36.415	0.165	0.0445	10.6	10.52	10.65	CSPI
SN2005hj	36.649	0.171	0.057	9.32	9.22	9.38	CSPI
SN2005iq	35.753	0.18	0.0329	10.54	10.47	10.6	CSPI
SN2005ir	37.309	0.158	0.0752	9.23	9.12	9.37	CSPI
SN2005kc	33.853	0.292	0.0139	11.06	10.6	11.5	CSPI
SN2005ke	31.477	0.799	0.0045	10.43	10.29	10.61	CSPI
SN2005ki	34.484	0.225	0.0204	10.8	10.62	10.86	CSPI
SN2005ku	36.3	0.267	0.0442	10.04	9.96	10.1	CSPI
SN2005lu	35.578	0.266	0.0313	9.86	9.68	10.03	CSPI
SN2005mc	35.068	0.264	0.026	10.95	10.85	11.1	CSPI
SN2005na	35.019	0.199	0.0268	10.97	10.9	11.05	CSPI
SN2006D	32.746	0.392	0.0096	9.76	9.54	9.85	CSPI
SN2006X	30.657	0.576	0.0063	9.33	9.06	9.43	CSPI
SN2006ax	34.228	0.243	0.018	10.92	10.79	11.04	CSPI
SN2006bd	35.374	0.219	0.0268	10.77	10.6	10.8	CSPI
