sn	mu_obs	err_mu_obs	zcmb	mass_best	mass_low	mass_hhigh	sample
ASAS14ad	35.348	0.284	0.0274	8.61	8.23	8.78	CSPII
ASAS14hp	35.715	0.251	0.0387	9.09	8.98	9.15	CSPII
ASAS14hr	36.133	0.263	0.0327	10.34	10.18	10.45	CSPII
ASAS14hu	34.921	0.28	0.0219	9.93	9.8	10.24	CSPII
ASAS14jc	33.479	0.375	0.0118	9.46	9.32	9.77	CSPII
ASAS14jg	34.175	0.45	0.0143	8.76	8.57	8.88	CSPII
ASAS14jz	33.717	0.321	0.0156	8.23	8.11	8.35	CSPII
ASAS14kd	34.608	0.279	0.0231	10.14	10.03	10.23	CSPII
ASAS14kq	36.085	0.273	0.0326	8.91	8.78	9.11	CSPII
ASAS14lo	34.749	0.403	0.021	9.69	9.47	9.79	CSPII
ASAS14lp	30.485	0.603	0.0062	10.74	10.6	10.91	CSPII
ASAS14lq	35.215	0.463	0.0251	10.65	10.46	10.73	CSPII
ASAS14lt	35.595	0.266	0.0315	10.64	10.56	10.7	CSPII
ASAS14lw	35.106	0.292	0.0203	6.35	6.08	6.72	CSPII
ASAS14me	34.133	0.304	0.0174	9.05	8.91	9.15	CSPII
ASAS14mf	35.617	0.26	0.0302	8.93	8.66	9.03	CSPII
ASAS14mw	35.22	0.264	0.0271	10.68	10.59	10.75	CSPII
ASAS14my	34.502	0.282	0.0217	10.31	10.11	10.74	CSPII
ASAS15aj	33.312	0.372	0.012	11.2	11.05	11.35	CSPII
ASAS15al	35.791	0.399	0.0338	8.07	8.03	8.23	CSPII
ASAS15as	35.264	0.269	0.0298	7.66	7.47	8.01	CSPII
ASAS15ba	35.004	0.272	0.024	7.99	7.83	8.19	CSPII
ASAS15be	34.913	0.285	0.0214	7.8	7.66	8.16	CSPII
ASAS15bm	34.538	0.284	0.0214	10.02	9.89	10.15	CSPII
ASAS15cd	35.81	0.252	0.0354	9.95	9.85	10.02	CSPII
ASAS15da	37.035	0.438	0.0488	10.4	10.23	10.48	CSPII
ASAS15db	33.435	0.382	0.0114	10.11	9.98	10.19	CSPII
ASAS15dd	35.051	0.273	0.0247	10.41	10.31	10.52	CSPII
ASAS15eb	34.511	0.328	0.0173	10.96	10.79	11.4	CSPII
ASAS15fr	36.148	0.4	0.0345	9.98	9.89	10.06	CSPII
ASAS15ga	33.06	0.576	0.0077	10.38	10.18	10.48	CSPII
